Coverage,Quantile fg. ratio (Mean Risk),Quantile fg. ratio (Std Dev),GMM (Mean Risk),GMM (Std Dev),GMM_pixel (Mean Risk),GMM_pixel (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev),GMM_spatial (Mean Risk),GMM_spatial (Std Dev),Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev),Mean (Mean Risk),Mean (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Threshold 0.7 (Mean Risk),Threshold 0.7 (Std Dev)
0.0,0.11577639925479889,0.009198535235216045,0.11577639925479889,0.009198535235216045,0.07582629549503327,0.058773679563410286,0.23606919729709624,0.08199093122360365,0.14103489100933075,0.0618555987163863,0.17123925601311427,0.013570554220143352,0.267060604929924,0.08305138013368307,0.267060604929924,0.08305138013368307,0.2672109773159027,0.08279846794585505,0.11438206541538239,0.027735109688554076,0.05407354128360748,0.027401431182294184,0.07611627316474914,0.026684233908619463,0.11585344135761261,0.03568457114504139,0.11344147455692291,0.05947407756310871,0.11479843211174011,0.05924738791994558,0.07892904353141784,0.03165588564025746
0.009433962264150943,0.11577639925479889,0.009198535235216045,0.11577639925479889,0.009198535235216045,0.07582629549503327,0.058773679563410286,0.23606919729709624,0.08199093122360365,0.14103489100933075,0.0618555987163863,0.17123925601311427,0.013570554220143352,0.267060604929924,0.08305138013368307,0.267060604929924,0.08305138013368307,0.2672109773159027,0.08279846794585505,0.11438206541538239,0.027735109688554076,0.05407354128360748,0.027401431182294184,0.07611627316474914,0.026684233908619463,0.11585344135761261,0.03568457114504139,0.11344147455692291,0.05947407756310871,0.11479843211174011,0.05924738791994558,0.07892904353141784,0.03165588564025746
0.018867924528301886,0.11577639925479889,0.009198535235216045,0.11577639925479889,0.009198535235216045,0.07582629549503327,0.058773679563410286,0.23606919729709624,0.08199093122360365,0.14103489100933075,0.0618555987163863,0.17123925601311427,0.013570554220143352,0.267060604929924,0.08305138013368307,0.267060604929924,0.08305138013368307,0.2672109773159027,0.08279846794585505,0.11438206541538239,0.027735109688554076,0.05407354128360748,0.027401431182294184,0.07611627316474914,0.026684233908619463,0.11585344135761261,0.03568457114504139,0.11344147455692291,0.05947407756310871,0.11479843211174011,0.05924738791994558,0.07892904353141784,0.03165588564025746
0.02830188679245283,0.11577639925479889,0.009198535235216045,0.11577639925479889,0.009198535235216045,0.07582629549503327,0.058773679563410286,0.23606919729709624,0.08199093122360365,0.14103489100933075,0.0618555987163863,0.17123925601311427,0.013570554220143352,0.267060604929924,0.08305138013368307,0.267060604929924,0.08305138013368307,0.2672109773159027,0.08279846794585505,0.11438206541538239,0.027735109688554076,0.05407354128360748,0.027401431182294184,0.07611627316474914,0.026684233908619463,0.11585344135761261,0.03568457114504139,0.11344147455692291,0.05947407756310871,0.11479843211174011,0.05924738791994558,0.07892904353141784,0.03165588564025746
0.03773584905660377,0.11577639925479889,0.009198535235216045,0.11577639925479889,0.009198535235216045,0.07582629549503327,0.058773679563410286,0.23606919729709624,0.08199093122360365,0.14103489100933075,0.0618555987163863,0.17123925601311427,0.013570554220143352,0.267060604929924,0.08305138013368307,0.267060604929924,0.08305138013368307,0.2672109773159027,0.08279846794585505,0.11438206541538239,0.027735109688554076,0.05407354128360748,0.027401431182294184,0.07611627316474914,0.026684233908619463,0.11585344135761261,0.03568457114504139,0.11344147455692291,0.05947407756310871,0.11479843211174011,0.05924738791994558,0.07892904353141784,0.03165588564025746
0.04716981132075472,0.11577639925479889,0.009198535235216045,0.11577639925479889,0.009198535235216045,0.07582629549503327,0.058773679563410286,0.23606919729709624,0.08199093122360365,0.14103489100933075,0.0618555987163863,0.17123925601311427,0.013570554220143352,0.267060604929924,0.08305138013368307,0.267060604929924,0.08305138013368307,0.2672109773159027,0.08279846794585505,0.11438206541538239,0.027735109688554076,0.05407354128360748,0.027401431182294184,0.07611627316474914,0.026684233908619463,0.11585344135761261,0.03568457114504139,0.11344147455692291,0.05947407756310871,0.11479843211174011,0.05924738791994558,0.07892904353141784,0.03165588564025746
0.05660377358490566,0.11577639925479889,0.009198535235216045,0.11577639925479889,0.009198535235216045,0.07582629549503327,0.058773679563410286,0.23606919729709624,0.08199093122360365,0.14103489100933075,0.0618555987163863,0.17123925601311427,0.013570554220143352,0.267060604929924,0.08305138013368307,0.267060604929924,0.08305138013368307,0.2672109773159027,0.08279846794585505,0.11438206541538239,0.027735109688554076,0.05407354128360748,0.027401431182294184,0.07611627316474914,0.026684233908619463,0.11585344135761261,0.03568457114504139,0.11344147455692291,0.05947407756310871,0.11479843211174011,0.05924738791994558,0.07892904353141784,0.03165588564025746
0.0660377358490566,0.11577639925479889,0.009198535235216045,0.11577639925479889,0.009198535235216045,0.07582629549503327,0.058773679563410286,0.23606919729709624,0.08199093122360365,0.14103489100933075,0.0618555987163863,0.17123925601311427,0.013570554220143352,0.267060604929924,0.08305138013368307,0.267060604929924,0.08305138013368307,0.2672109773159027,0.08279846794585505,0.11438206541538239,0.027735109688554076,0.05407354128360748,0.027401431182294184,0.07611627316474914,0.026684233908619463,0.11585344135761261,0.03568457114504139,0.11344147455692291,0.05947407756310871,0.11479843211174011,0.05924738791994558,0.07892904353141784,0.03165588564025746
0.07547169811320754,0.11577639925479889,0.009198535235216045,0.11577639925479889,0.009198535235216045,0.07582629549503327,0.058773679563410286,0.23606919729709624,0.08199093122360365,0.14103489100933075,0.0618555987163863,0.17123925601311427,0.013570554220143352,0.267060604929924,0.08305138013368307,0.267060604929924,0.08305138013368307,0.2672109773159027,0.08279846794585505,0.11438206541538239,0.027735109688554076,0.05407354128360748,0.027401431182294184,0.07611627316474914,0.026684233908619463,0.11585344135761261,0.03568457114504139,0.11344147455692291,0.05947407756310871,0.11479843211174011,0.05924738791994558,0.07892904353141784,0.03165588564025746
0.08490566037735849,0.11577639925479889,0.009198535235216045,0.11577639925479889,0.009198535235216045,0.07582629549503327,0.058773679563410286,0.23606919729709624,0.08199093122360365,0.14103489100933075,0.0618555987163863,0.17123925601311427,0.013570554220143352,0.267060604929924,0.08305138013368307,0.267060604929924,0.08305138013368307,0.2672109773159027,0.08279846794585505,0.11438206541538239,0.027735109688554076,0.05407354128360748,0.027401431182294184,0.07611627316474914,0.026684233908619463,0.11585344135761261,0.03568457114504139,0.11344147455692291,0.05947407756310871,0.11479843211174011,0.05924738791994558,0.07892904353141784,0.03165588564025746
