Coverage,GMM (Mean Risk),GMM (Std Dev),GMM_pixel (Mean Risk),GMM_pixel (Std Dev),GMM_spatial (Mean Risk),GMM_spatial (Std Dev),Threshold 0.7 (Mean Risk),Threshold 0.7 (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev),Quantile fg. ratio (Mean Risk),Quantile fg. ratio (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev),Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Mean (Mean Risk),Mean (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev)
0.0,0.9999999999998663,2.3403083304781914e-13,1.0000000000001033,2.1305891518920242e-13,1.000000000000071,2.210454041471066e-13,0.9999999999999216,2.2558606228972323e-13,1.0000000000000002,8.325134291567831e-14,1.0000000000000377,6.105395223649953e-14,1.0000000000000637,2.1250082462893894e-13,1.0000000000000728,2.157744422908558e-13,0.9999999999998878,2.1651846661420463e-13,0.9996718749999459,0.007329757280896759,0.9999999999997079,2.3030100229353895e-13,0.9999999999996397,2.287030034420138e-13,0.9999999999996867,2.33452216289623e-13,0.33637261391081646,0.08480539970560773,0.364067519792096,0.10687342644046223,0.8023765220990039,0.2016036409328048
0.0018450184501845018,0.9999999999998663,2.3403083304781914e-13,1.0000000000001033,2.1305891518920242e-13,1.000000000000071,2.210454041471066e-13,0.9999999999999216,2.2558606228972323e-13,1.0000000000000002,8.325134291567831e-14,1.0000000000000377,6.105395223649953e-14,1.0000000000000637,2.1250082462893894e-13,1.0000000000000728,2.157744422908558e-13,0.9999999999998878,2.1651846661420463e-13,0.9996718749999459,0.007329757280896759,0.9999999999997079,2.3030100229353895e-13,0.9999999999996397,2.287030034420138e-13,0.9999999999996867,2.33452216289623e-13,0.33637261391081646,0.08480539970560773,0.364067519792096,0.10687342644046223,0.8023765220990039,0.2016036409328048
0.0036900369003690036,0.9999999999998663,2.3403083304781914e-13,1.0000000000001033,2.1305891518920242e-13,1.000000000000071,2.210454041471066e-13,0.9999999999999216,2.2558606228972323e-13,1.0000000000000002,8.325134291567831e-14,1.0000000000000377,6.105395223649953e-14,1.0000000000000637,2.1250082462893894e-13,1.0000000000000728,2.157744422908558e-13,0.9999999999998878,2.1651846661420463e-13,0.9996718749999459,0.007329757280896759,0.9999999999997079,2.3030100229353895e-13,0.9999999999996397,2.287030034420138e-13,0.9999999999996867,2.33452216289623e-13,0.33637261391081646,0.08480539970560773,0.364067519792096,0.10687342644046223,0.8023765220990039,0.2016036409328048
0.005535055350553505,0.9999999999998663,2.3403083304781914e-13,1.0000000000001033,2.1305891518920242e-13,1.000000000000071,2.210454041471066e-13,0.9999999999999216,2.2558606228972323e-13,1.0000000000000002,8.325134291567831e-14,1.0000000000000377,6.105395223649953e-14,1.0000000000000637,2.1250082462893894e-13,1.0000000000000728,2.157744422908558e-13,0.9999999999998878,2.1651846661420463e-13,0.9996718749999459,0.007329757280896759,0.9999999999997079,2.3030100229353895e-13,0.9999999999996397,2.287030034420138e-13,0.9999999999996867,2.33452216289623e-13,0.33637261391081646,0.08480539970560773,0.364067519792096,0.10687342644046223,0.8023765220990039,0.2016036409328048
0.007380073800738007,0.9999999999998663,2.3403083304781914e-13,1.0000000000001033,2.1305891518920242e-13,1.000000000000071,2.210454041471066e-13,0.9999999999999216,2.2558606228972323e-13,1.0000000000000002,8.325134291567831e-14,1.0000000000000377,6.105395223649953e-14,1.0000000000000637,2.1250082462893894e-13,1.0000000000000728,2.157744422908558e-13,0.9999999999998878,2.1651846661420463e-13,0.9996718749999459,0.007329757280896759,0.9999999999997079,2.3030100229353895e-13,0.9999999999996397,2.287030034420138e-13,0.9999999999996867,2.33452216289623e-13,0.33637261391081646,0.08480539970560773,0.364067519792096,0.10687342644046223,0.8023765220990039,0.2016036409328048
0.00922509225092251,0.9999999999998663,2.3403083304781914e-13,1.0000000000001033,2.1305891518920242e-13,1.000000000000071,2.210454041471066e-13,0.9999999999999216,2.2558606228972323e-13,1.0000000000000002,8.325134291567831e-14,1.0000000000000377,6.105395223649953e-14,1.0000000000000637,2.1250082462893894e-13,1.0000000000000728,2.157744422908558e-13,0.9999999999998878,2.1651846661420463e-13,0.9996718749999459,0.007329757280896759,0.9999999999997079,2.3030100229353895e-13,0.9999999999996397,2.287030034420138e-13,0.9999999999996867,2.33452216289623e-13,0.33637261391081646,0.08480539970560773,0.364067519792096,0.10687342644046223,0.8023765220990039,0.2016036409328048
0.01107011070110701,0.9999999999998663,2.3403083304781914e-13,1.0000000000001033,2.1305891518920242e-13,1.000000000000071,2.210454041471066e-13,0.9999999999999216,2.2558606228972323e-13,1.0000000000000002,8.325134291567831e-14,1.0000000000000377,6.105395223649953e-14,1.0000000000000637,2.1250082462893894e-13,1.0000000000000728,2.157744422908558e-13,0.9999999999998878,2.1651846661420463e-13,0.9996718749999459,0.007329757280896759,0.9999999999997079,2.3030100229353895e-13,0.9999999999996397,2.287030034420138e-13,0.9999999999996867,2.33452216289623e-13,0.33637261391081646,0.08480539970560773,0.364067519792096,0.10687342644046223,0.8023765220990039,0.2016036409328048
0.012915129151291513,0.9999999999998663,2.3403083304781914e-13,1.0000000000001033,2.1305891518920242e-13,1.000000000000071,2.210454041471066e-13,0.9999999999999216,2.2558606228972323e-13,1.0000000000000002,8.325134291567831e-14,1.0000000000000377,6.105395223649953e-14,1.0000000000000637,2.1250082462893894e-13,1.0000000000000728,2.157744422908558e-13,0.9999999999998878,2.1651846661420463e-13,0.9996718749999459,0.007329757280896759,0.9999999999997079,2.3030100229353895e-13,0.9999999999996397,2.287030034420138e-13,0.9999999999996867,2.33452216289623e-13,0.33637261391081646,0.08480539970560773,0.364067519792096,0.10687342644046223,0.8023765220990039,0.2016036409328048
0.014760147601476014,0.9999999999998663,2.3403083304781914e-13,1.0000000000001033,2.1305891518920242e-13,1.000000000000071,2.210454041471066e-13,0.9999999999999216,2.2558606228972323e-13,1.0000000000000002,8.325134291567831e-14,1.0000000000000377,6.105395223649953e-14,1.0000000000000637,2.1250082462893894e-13,1.0000000000000728,2.157744422908558e-13,0.9999999999998878,2.1651846661420463e-13,0.9996718749999459,0.007329757280896759,0.9999999999997079,2.3030100229353895e-13,0.9999999999996397,2.287030034420138e-13,0.9999999999996867,2.33452216289623e-13,0.33637261391081646,0.08480539970560773,0.364067519792096,0.10687342644046223,0.8023765220990039,0.2016036409328048
0.016605166051660517,0.9999999999998663,2.3403083304781914e-13,1.0000000000001033,2.1305891518920242e-13,1.000000000000071,2.210454041471066e-13,0.9999999999999216,2.2558606228972323e-13,1.0000000000000002,8.325134291567831e-14,1.0000000000000377,6.105395223649953e-14,1.0000000000000637,2.1250082462893894e-13,1.0000000000000728,2.157744422908558e-13,0.9999999999998878,2.1651846661420463e-13,0.9996718749999459,0.007329757280896759,0.9999999999997079,2.3030100229353895e-13,0.9999999999996397,2.287030034420138e-13,0.9999999999996867,2.33452216289623e-13,0.33637261391081646,0.08480539970560773,0.364067519792096,0.10687342644046223,0.8023765220990039,0.2016036409328048
