Aggregator,AURC,AURC_std
Threshold 0.5,0.07819576394233956,0.0
Threshold 0.3,0.08043575914852365,0.0
Threshold 0.7,0.08618671818969156,0.0
Quantile fg. ratio,0.0904320813926047,0.0
Quantile 0.9,0.1323241572862884,0.0
GMM_pixel,0.14002144381194065,0.0
Quantile 0.75,0.14118927695804054,0.0
Patch 50,0.14357368101190726,0.0
Mean,0.144811948172325,0.0
Patch 20,0.14515504605230867,0.0
Quantile 0.6,0.14692943252449542,0.0
GMM,0.147355668993286,0.0
Imbalance-w. class avg.,0.15299051736618222,0.0
Equally-w. class avg.,0.15299051736618222,0.0
Patch 10,0.16389621271086574,0.0
GMM_spatial,0.18763305594402957,0.0
