Coverage,GMM_pixel (Mean Risk),GMM_pixel (Std Dev),GMM_spatial (Mean Risk),GMM_spatial (Std Dev),Threshold 0.7 (Mean Risk),Threshold 0.7 (Std Dev),GMM (Mean Risk),GMM (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),Quantile fg. ratio (Mean Risk),Quantile fg. ratio (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Mean (Mean Risk),Mean (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev)
0.0,1.0000000000001494,2.420050622430751e-13,1.0000000000000138,2.1921159223093432e-13,0.9999999999999688,2.2191618753967013e-13,0.9999999999999954,5.742974921427483e-14,1.0000000000000104,3.2096330665735774e-14,0.5579588081126083,0.011932855908610374,0.9999999999999614,2.2418052833247025e-13,1.0000000000000275,2.1881103683213559e-13,1.0000000000000433,2.1572817166281745e-13,0.9999999999998375,2.3405050353358934e-13,0.9999999999998355,2.2456653434354385e-13,0.999999999999754,2.4308833421668183e-13,0.9999999999996727,2.612503467575243e-13,0.5014178919089096,0.16885010964646024,0.4632409676602735,0.13548285585321793,0.40243450505681555,0.1620891776179122
0.0018450184501845018,1.0000000000001494,2.420050622430751e-13,1.0000000000000138,2.1921159223093432e-13,0.9999999999999688,2.2191618753967013e-13,0.9999999999999954,5.742974921427483e-14,1.0000000000000104,3.2096330665735774e-14,0.5579588081126083,0.011932855908610374,0.9999999999999614,2.2418052833247025e-13,1.0000000000000275,2.1881103683213559e-13,1.0000000000000433,2.1572817166281745e-13,0.9999999999998375,2.3405050353358934e-13,0.9999999999998355,2.2456653434354385e-13,0.999999999999754,2.4308833421668183e-13,0.9999999999996727,2.612503467575243e-13,0.5014178919089096,0.16885010964646024,0.4632409676602735,0.13548285585321793,0.40243450505681555,0.1620891776179122
0.0036900369003690036,1.0000000000001494,2.420050622430751e-13,1.0000000000000138,2.1921159223093432e-13,0.9999999999999688,2.2191618753967013e-13,0.9999999999999954,5.742974921427483e-14,1.0000000000000104,3.2096330665735774e-14,0.5579588081126083,0.011932855908610374,0.9999999999999614,2.2418052833247025e-13,1.0000000000000275,2.1881103683213559e-13,1.0000000000000433,2.1572817166281745e-13,0.9999999999998375,2.3405050353358934e-13,0.9999999999998355,2.2456653434354385e-13,0.999999999999754,2.4308833421668183e-13,0.9999999999996727,2.612503467575243e-13,0.5014178919089096,0.16885010964646024,0.4632409676602735,0.13548285585321793,0.40243450505681555,0.1620891776179122
0.005535055350553505,1.0000000000001494,2.420050622430751e-13,1.0000000000000138,2.1921159223093432e-13,0.9999999999999688,2.2191618753967013e-13,0.9999999999999954,5.742974921427483e-14,1.0000000000000104,3.2096330665735774e-14,0.5579588081126083,0.011932855908610374,0.9999999999999614,2.2418052833247025e-13,1.0000000000000275,2.1881103683213559e-13,1.0000000000000433,2.1572817166281745e-13,0.9999999999998375,2.3405050353358934e-13,0.9999999999998355,2.2456653434354385e-13,0.999999999999754,2.4308833421668183e-13,0.9999999999996727,2.612503467575243e-13,0.5014178919089096,0.16885010964646024,0.4632409676602735,0.13548285585321793,0.40243450505681555,0.1620891776179122
0.007380073800738007,1.0000000000001494,2.420050622430751e-13,1.0000000000000138,2.1921159223093432e-13,0.9999999999999688,2.2191618753967013e-13,0.9999999999999954,5.742974921427483e-14,1.0000000000000104,3.2096330665735774e-14,0.5579588081126083,0.011932855908610374,0.9999999999999614,2.2418052833247025e-13,1.0000000000000275,2.1881103683213559e-13,1.0000000000000433,2.1572817166281745e-13,0.9999999999998375,2.3405050353358934e-13,0.9999999999998355,2.2456653434354385e-13,0.999999999999754,2.4308833421668183e-13,0.9999999999996727,2.612503467575243e-13,0.5014178919089096,0.16885010964646024,0.4632409676602735,0.13548285585321793,0.40243450505681555,0.1620891776179122
0.00922509225092251,1.0000000000001494,2.420050622430751e-13,1.0000000000000138,2.1921159223093432e-13,0.9999999999999688,2.2191618753967013e-13,0.9999999999999954,5.742974921427483e-14,1.0000000000000104,3.2096330665735774e-14,0.5579588081126083,0.011932855908610374,0.9999999999999614,2.2418052833247025e-13,1.0000000000000275,2.1881103683213559e-13,1.0000000000000433,2.1572817166281745e-13,0.9999999999998375,2.3405050353358934e-13,0.9999999999998355,2.2456653434354385e-13,0.999999999999754,2.4308833421668183e-13,0.9999999999996727,2.612503467575243e-13,0.5014178919089096,0.16885010964646024,0.4632409676602735,0.13548285585321793,0.40243450505681555,0.1620891776179122
0.01107011070110701,1.0000000000001494,2.420050622430751e-13,1.0000000000000138,2.1921159223093432e-13,0.9999999999999688,2.2191618753967013e-13,0.9999999999999954,5.742974921427483e-14,1.0000000000000104,3.2096330665735774e-14,0.5579588081126083,0.011932855908610374,0.9999999999999614,2.2418052833247025e-13,1.0000000000000275,2.1881103683213559e-13,1.0000000000000433,2.1572817166281745e-13,0.9999999999998375,2.3405050353358934e-13,0.9999999999998355,2.2456653434354385e-13,0.999999999999754,2.4308833421668183e-13,0.9999999999996727,2.612503467575243e-13,0.5014178919089096,0.16885010964646024,0.4632409676602735,0.13548285585321793,0.40243450505681555,0.1620891776179122
0.012915129151291513,1.0000000000001494,2.420050622430751e-13,1.0000000000000138,2.1921159223093432e-13,0.9999999999999688,2.2191618753967013e-13,0.9999999999999954,5.742974921427483e-14,1.0000000000000104,3.2096330665735774e-14,0.5579588081126083,0.011932855908610374,0.9999999999999614,2.2418052833247025e-13,1.0000000000000275,2.1881103683213559e-13,1.0000000000000433,2.1572817166281745e-13,0.9999999999998375,2.3405050353358934e-13,0.9999999999998355,2.2456653434354385e-13,0.999999999999754,2.4308833421668183e-13,0.9999999999996727,2.612503467575243e-13,0.5014178919089096,0.16885010964646024,0.4632409676602735,0.13548285585321793,0.40243450505681555,0.1620891776179122
0.014760147601476014,1.0000000000001494,2.420050622430751e-13,1.0000000000000138,2.1921159223093432e-13,0.9999999999999688,2.2191618753967013e-13,0.9999999999999954,5.742974921427483e-14,1.0000000000000104,3.2096330665735774e-14,0.5579588081126083,0.011932855908610374,0.9999999999999614,2.2418052833247025e-13,1.0000000000000275,2.1881103683213559e-13,1.0000000000000433,2.1572817166281745e-13,0.9999999999998375,2.3405050353358934e-13,0.9999999999998355,2.2456653434354385e-13,0.999999999999754,2.4308833421668183e-13,0.9999999999996727,2.612503467575243e-13,0.5014178919089096,0.16885010964646024,0.4632409676602735,0.13548285585321793,0.40243450505681555,0.1620891776179122
0.016605166051660517,1.0000000000001494,2.420050622430751e-13,1.0000000000000138,2.1921159223093432e-13,0.9999999999999688,2.2191618753967013e-13,0.9999999999999954,5.742974921427483e-14,1.0000000000000104,3.2096330665735774e-14,0.5579588081126083,0.011932855908610374,0.9999999999999614,2.2418052833247025e-13,1.0000000000000275,2.1881103683213559e-13,1.0000000000000433,2.1572817166281745e-13,0.9999999999998375,2.3405050353358934e-13,0.9999999999998355,2.2456653434354385e-13,0.999999999999754,2.4308833421668183e-13,0.9999999999996727,2.612503467575243e-13,0.5014178919089096,0.16885010964646024,0.4632409676602735,0.13548285585321793,0.40243450505681555,0.1620891776179122
