Aggregator,AURC,AURC_std,EAURC,EAURC_std
Quantile fg. ratio,0.12109256438244956,0.010817768767465324,0.04491106448389924,0.00709525009118888
Equally-w. class avg.,0.13009799069426412,0.012108495782394008,0.05391649079571381,0.006829345129975073
Imbalance-w. class avg.,0.13009799069426412,0.012108495782394008,0.05391649079571381,0.006829345129975073
Patch 10,0.1314920919473038,0.012250098000816565,0.05531059204875351,0.007573649338089247
GMM_spatial,0.13470369097779109,0.011660192427210362,0.05852219107924079,0.0075086010770758806
Patch 20,0.13751422874664745,0.012768107661976245,0.06133272884809716,0.00768199440580183
Quantile 0.9,0.13825205816773314,0.01281409494760899,0.06207055826918283,0.007758072084168093
Mean,0.13826735373954985,0.012812289401078328,0.062085853840999544,0.007756771339550826
Quantile 0.75,0.13826735373954985,0.012812289401078328,0.062085853840999544,0.007756771339550826
Patch 50,0.13826735373954985,0.012812289401078328,0.062085853840999544,0.007756771339550826
Quantile 0.6,0.13826735373954985,0.012812289401078328,0.062085853840999544,0.007756771339550826
GMM,0.14262839967812418,0.013097643525812167,0.0664468997795739,0.008235022480353713
GMM_pixel,0.1443379522115281,0.013282738923827678,0.06815645231297776,0.008435314148533159
Threshold 0.3,0.17284061377105212,0.016434600155747305,0.09665911387250184,0.012050526283489862
Threshold 0.7,0.19663328229302915,0.019439768990011527,0.12045178239447885,0.015284221157230741
Threshold 0.5,0.19663613084631534,0.02008966761701887,0.12045463094776505,0.01556045792701471
