Coverage,Threshold 0.7 (Mean Risk),Threshold 0.7 (Std Dev),Quantile fg. ratio (Mean Risk),Quantile fg. ratio (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),GMM (Mean Risk),GMM (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),GMM_pixel (Mean Risk),GMM_pixel (Std Dev),GMM_spatial (Mean Risk),GMM_spatial (Std Dev),Mean (Mean Risk),Mean (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev)
0.0,0.4320027629399866,0.031911824926783794,0.44015740880765664,0.004901022322275174,0.472689903954406,0.05245642305944762,0.44033815771244794,0.004592417660784008,0.4281568890020309,0.030289542176579278,0.3696907068740277,0.015037731587012746,0.44754097932734305,0.04577749972032712,0.4226241805977966,0.05339391946927627,0.4095148901672748,0.02748382505453513,0.4059310053031111,0.03510216474819899,0.4251694642188033,0.033644187467880476,0.3891040814993622,0.019824228352569872,0.4098467230479464,0.02525922574913597,0.45614730240720164,0.021305312141756003,0.42363293619465375,0.030847760619925627,0.3989543308880505,0.06384467001960785
0.013333333333333334,0.4320027629399866,0.031911824926783794,0.44015740880765664,0.004901022322275174,0.472689903954406,0.05245642305944762,0.44033815771244794,0.004592417660784008,0.4281568890020309,0.030289542176579278,0.3696907068740277,0.015037731587012746,0.44754097932734305,0.04577749972032712,0.4226241805977966,0.05339391946927627,0.4095148901672748,0.02748382505453513,0.4059310053031111,0.03510216474819899,0.4251694642188033,0.033644187467880476,0.3891040814993622,0.019824228352569872,0.4098467230479464,0.02525922574913597,0.45614730240720164,0.021305312141756003,0.42363293619465375,0.030847760619925627,0.3989543308880505,0.06384467001960785
0.02666666666666667,0.4320027629399866,0.031911824926783794,0.44015740880765664,0.004901022322275174,0.472689903954406,0.05245642305944762,0.44033815771244794,0.004592417660784008,0.4281568890020309,0.030289542176579278,0.3696907068740277,0.015037731587012746,0.44754097932734305,0.04577749972032712,0.4226241805977966,0.05339391946927627,0.4095148901672748,0.02748382505453513,0.4059310053031111,0.03510216474819899,0.4251694642188033,0.033644187467880476,0.3891040814993622,0.019824228352569872,0.4098467230479464,0.02525922574913597,0.45614730240720164,0.021305312141756003,0.42363293619465375,0.030847760619925627,0.3989543308880505,0.06384467001960785
0.04,0.4320027629399866,0.031911824926783794,0.44015740880765664,0.004901022322275174,0.472689903954406,0.05245642305944762,0.44033815771244794,0.004592417660784008,0.4281568890020309,0.030289542176579278,0.3696907068740277,0.015037731587012746,0.44754097932734305,0.04577749972032712,0.4226241805977966,0.05339391946927627,0.4095148901672748,0.02748382505453513,0.4059310053031111,0.03510216474819899,0.4251694642188033,0.033644187467880476,0.3891040814993622,0.019824228352569872,0.4098467230479464,0.02525922574913597,0.45614730240720164,0.021305312141756003,0.42363293619465375,0.030847760619925627,0.3989543308880505,0.06384467001960785
0.05333333333333334,0.4320027629399866,0.031911824926783794,0.44015740880765664,0.004901022322275174,0.472689903954406,0.05245642305944762,0.44033815771244794,0.004592417660784008,0.4281568890020309,0.030289542176579278,0.3696907068740277,0.015037731587012746,0.44754097932734305,0.04577749972032712,0.4226241805977966,0.05339391946927627,0.4095148901672748,0.02748382505453513,0.4059310053031111,0.03510216474819899,0.4251694642188033,0.033644187467880476,0.3891040814993622,0.019824228352569872,0.4098467230479464,0.02525922574913597,0.45614730240720164,0.021305312141756003,0.42363293619465375,0.030847760619925627,0.3989543308880505,0.06384467001960785
0.06666666666666667,0.4320027629399866,0.031911824926783794,0.44015740880765664,0.004901022322275174,0.472689903954406,0.05245642305944762,0.44033815771244794,0.004592417660784008,0.4281568890020309,0.030289542176579278,0.3696907068740277,0.015037731587012746,0.44754097932734305,0.04577749972032712,0.4226241805977966,0.05339391946927627,0.4095148901672748,0.02748382505453513,0.4059310053031111,0.03510216474819899,0.4251694642188033,0.033644187467880476,0.3891040814993622,0.019824228352569872,0.4098467230479464,0.02525922574913597,0.45614730240720164,0.021305312141756003,0.42363293619465375,0.030847760619925627,0.3989543308880505,0.06384467001960785
0.08,0.4320027629399866,0.031911824926783794,0.44015740880765664,0.004901022322275174,0.472689903954406,0.05245642305944762,0.44033815771244794,0.004592417660784008,0.4281568890020309,0.030289542176579278,0.3696907068740277,0.015037731587012746,0.44754097932734305,0.04577749972032712,0.4226241805977966,0.05339391946927627,0.4095148901672748,0.02748382505453513,0.4059310053031111,0.03510216474819899,0.4251694642188033,0.033644187467880476,0.3891040814993622,0.019824228352569872,0.4098467230479464,0.02525922574913597,0.45614730240720164,0.021305312141756003,0.42363293619465375,0.030847760619925627,0.3989543308880505,0.06384467001960785
0.09333333333333334,0.4320027629399866,0.031911824926783794,0.44015740880765664,0.004901022322275174,0.472689903954406,0.05245642305944762,0.44033815771244794,0.004592417660784008,0.4281568890020309,0.030289542176579278,0.3696907068740277,0.015037731587012746,0.44754097932734305,0.04577749972032712,0.4226241805977966,0.05339391946927627,0.4095148901672748,0.02748382505453513,0.4059310053031111,0.03510216474819899,0.4251694642188033,0.033644187467880476,0.3891040814993622,0.019824228352569872,0.4098467230479464,0.02525922574913597,0.45614730240720164,0.021305312141756003,0.42363293619465375,0.030847760619925627,0.3989543308880505,0.06384467001960785
0.10666666666666667,0.4320027629399866,0.031911824926783794,0.44015740880765664,0.004901022322275174,0.472689903954406,0.05245642305944762,0.44033815771244794,0.004592417660784008,0.4281568890020309,0.030289542176579278,0.3696907068740277,0.015037731587012746,0.44754097932734305,0.04577749972032712,0.4226241805977966,0.05339391946927627,0.4095148901672748,0.02748382505453513,0.4059310053031111,0.03510216474819899,0.4251694642188033,0.033644187467880476,0.3891040814993622,0.019824228352569872,0.4098467230479464,0.02525922574913597,0.45614730240720164,0.021305312141756003,0.42363293619465375,0.030847760619925627,0.3989543308880505,0.06384467001960785
0.12,0.4320027629399866,0.031911824926783794,0.44015740880765664,0.004901022322275174,0.472689903954406,0.05245642305944762,0.44033815771244794,0.004592417660784008,0.4281568890020309,0.030289542176579278,0.3696907068740277,0.015037731587012746,0.44754097932734305,0.04577749972032712,0.4226241805977966,0.05339391946927627,0.4095148901672748,0.02748382505453513,0.4059310053031111,0.03510216474819899,0.4251694642188033,0.033644187467880476,0.3891040814993622,0.019824228352569872,0.4098467230479464,0.02525922574913597,0.45614730240720164,0.021305312141756003,0.42363293619465375,0.030847760619925627,0.3989543308880505,0.06384467001960785
