Aggregator,AURC,AURC_std,EAURC,EAURC_std
Quantile fg. ratio,0.1137022072506764,0.009142817122154095,0.03582272254315281,0.005438477821261441
GMM,0.12128837986382553,0.009906951304408529,0.04340889515630195,0.006218584514581127
GMM_pixel,0.12202237279126264,0.010144676929317248,0.044142888083739056,0.00639594165680923
Patch 10,0.12359376397786512,0.010442902827405039,0.04571427927034155,0.006750018096552644
Patch 20,0.13080449799738406,0.01167037728473824,0.05292501328986049,0.00776839581982399
Patch 50,0.14174507649711937,0.012844213361330497,0.06386559178959582,0.009267152242975907
GMM_spatial,0.14531927084013024,0.018464726660073212,0.06743978613260664,0.015396012469959554
Equally-w. class avg.,0.1478933511262425,0.011682951162449015,0.0700138664187189,0.008869648944956836
Imbalance-w. class avg.,0.1478933511262425,0.011682951162449015,0.0700138664187189,0.008869648944956836
Mean,0.1557496606204542,0.013481848292490694,0.07787017591293062,0.01088256443528639
Threshold 0.5,0.15780734832752516,0.01292461005909135,0.07992786362000158,0.010309211088341442
Threshold 0.3,0.15909332208068414,0.014245773674681727,0.08121383737316054,0.011525506867314244
Quantile 0.6,0.16478086384447482,0.01423761952624541,0.08690137913695122,0.011613404789573074
Quantile 0.9,0.16540568865335364,0.014045834853855344,0.08752620394583005,0.011530133403565046
Quantile 0.75,0.16564292113995893,0.014216780304623066,0.08776343643243532,0.01158198399619395
Threshold 0.7,0.17123925601311446,0.01357055422014335,0.09335977130559091,0.009452634068615308
