Aggregator,AURC,AURC_std,EAURC,EAURC_std
Threshold 0.5,0.47860372512551386,0.020870206761678473,0.03806645156716134,0.00807824024405721
Threshold 0.3,0.4825946010224665,0.020162263850869253,0.04205732746411397,0.010327327047295632
Equally-w. class avg.,0.48817430221080904,0.019937489458339296,0.04763702865245652,0.007940410690683864
Quantile fg. ratio,0.4896482442154465,0.01988769251573403,0.04911097065709395,0.009630431427938882
GMM_spatial,0.49397676868119683,0.01757741602625111,0.05343949512284434,0.010209495875435091
GMM,0.5017462681103164,0.020700031171752394,0.061208994551963984,0.012793935774331727
GMM_pixel,0.5133382248680811,0.021542251294711965,0.0728009513097287,0.014642109030957688
Quantile 0.9,0.5167314624711384,0.01955461732134652,0.07619418891278598,0.011977750472975869
Patch 20,0.5212618247844277,0.019628980609789164,0.08072455122607518,0.012095073288541732
Quantile 0.6,0.5221488401369317,0.02075884607580822,0.0816115665785792,0.013911597588972752
Quantile 0.75,0.5235696782401988,0.020143413113084624,0.08303240468184635,0.013272853543069186
Threshold 0.7,0.5355633813793402,0.024088584126016454,0.09502610782098779,0.015930918730369097
Patch 50,0.5370719468568461,0.022583917148547034,0.0965346732984936,0.015235264312093955
Imbalance-w. class avg.,0.5382030875302107,0.021130603175310275,0.09766581397185825,0.015380663141172934
Mean,0.5395068292286974,0.021307982828923006,0.09896955567034493,0.015592376524503898
Patch 10,0.5635077446597178,0.019881991954559638,0.1229704711013653,0.014947141024232757
