Aggregator,AURC,AURC_std
GMM,0.5930601995485422,0.0
GMM_pixel,0.5998756660575311,0.0
GMM_spatial,0.6359217642008145,0.0
Quantile fg. ratio,0.6708938098413385,0.0
Equally-w. class avg.,0.7162327930816123,0.0
Threshold 0.3,0.8000040061883629,0.0
Threshold 0.5,0.801616733657449,0.0
Patch 20,0.8021152011314261,0.0
Patch 50,0.8036524048855194,0.0
Patch 10,0.8109146840881263,0.0
Threshold 0.7,0.8165241974935002,0.0
Imbalance-w. class avg.,0.8268758367073201,0.0
Quantile 0.6,0.827163101642114,0.0
Mean,0.8272064146951483,0.0
Quantile 0.75,0.8282963607628858,0.0
Quantile 0.9,0.8328506505327578,0.0
