Coverage,Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),GMM_spatial (Mean Risk),GMM_spatial (Std Dev),GMM (Mean Risk),GMM (Std Dev),Quantile fg. ratio (Mean Risk),Quantile fg. ratio (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev),Mean (Mean Risk),Mean (Std Dev),GMM_pixel (Mean Risk),GMM_pixel (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Threshold 0.7 (Mean Risk),Threshold 0.7 (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev)
0.0,0.3481334213018417,0.07336686933028254,0.2860609105825424,0.04286499093328825,0.42210022819042203,0.0483695946660166,0.32058165669441224,0.07568116516597978,0.3191524000167847,0.09699116942589901,0.2805632381439209,0.07983640967057784,0.2721860214471817,0.026436622679600952,0.27431292390823364,0.023649557045204096,0.2908254761695862,0.040546535293491906,0.31942482590675353,0.055223783907242446,0.20149007999897003,0.04308145006700371,0.28353163540363313,0.06995767308774083,0.23460110914707183,0.02319924220057552,0.3817811179161072,0.013353501561008636,0.29750618219375613,0.05921421849786021,0.3280501537322998,0.06735714609054508
0.005,0.3481334213018417,0.07336686933028254,0.2860609105825424,0.04286499093328825,0.42210022819042203,0.0483695946660166,0.32058165669441224,0.07568116516597978,0.3191524000167847,0.09699116942589901,0.2805632381439209,0.07983640967057784,0.2721860214471817,0.026436622679600952,0.27431292390823364,0.023649557045204096,0.2908254761695862,0.040546535293491906,0.31942482590675353,0.055223783907242446,0.20149007999897003,0.04308145006700371,0.28353163540363313,0.06995767308774083,0.23460110914707183,0.02319924220057552,0.3817811179161072,0.013353501561008636,0.29750618219375613,0.05921421849786021,0.3280501537322998,0.06735714609054508
0.01,0.3481334213018417,0.07336686933028254,0.2860609105825424,0.04286499093328825,0.42210022819042203,0.0483695946660166,0.32058165669441224,0.07568116516597978,0.3191524000167847,0.09699116942589901,0.2805632381439209,0.07983640967057784,0.2721860214471817,0.026436622679600952,0.27431292390823364,0.023649557045204096,0.2908254761695862,0.040546535293491906,0.31942482590675353,0.055223783907242446,0.20149007999897003,0.04308145006700371,0.28353163540363313,0.06995767308774083,0.23460110914707183,0.02319924220057552,0.3817811179161072,0.013353501561008636,0.29750618219375613,0.05921421849786021,0.3280501537322998,0.06735714609054508
0.015,0.3481334213018417,0.07336686933028254,0.2860609105825424,0.04286499093328825,0.42210022819042203,0.0483695946660166,0.32058165669441224,0.07568116516597978,0.3191524000167847,0.09699116942589901,0.2805632381439209,0.07983640967057784,0.2721860214471817,0.026436622679600952,0.27431292390823364,0.023649557045204096,0.2908254761695862,0.040546535293491906,0.31942482590675353,0.055223783907242446,0.20149007999897003,0.04308145006700371,0.28353163540363313,0.06995767308774083,0.23460110914707183,0.02319924220057552,0.3817811179161072,0.013353501561008636,0.29750618219375613,0.05921421849786021,0.3280501537322998,0.06735714609054508
0.02,0.3481334213018417,0.07336686933028254,0.2860609105825424,0.04286499093328825,0.42210022819042203,0.0483695946660166,0.32058165669441224,0.07568116516597978,0.3191524000167847,0.09699116942589901,0.2805632381439209,0.07983640967057784,0.2721860214471817,0.026436622679600952,0.27431292390823364,0.023649557045204096,0.2908254761695862,0.040546535293491906,0.31942482590675353,0.055223783907242446,0.20149007999897003,0.04308145006700371,0.28353163540363313,0.06995767308774083,0.23460110914707183,0.02319924220057552,0.3817811179161072,0.013353501561008636,0.29750618219375613,0.05921421849786021,0.3280501537322998,0.06735714609054508
0.025,0.3481334213018417,0.07336686933028254,0.2860609105825424,0.04286499093328825,0.42210022819042203,0.0483695946660166,0.32058165669441224,0.07568116516597978,0.3191524000167847,0.09699116942589901,0.2805632381439209,0.07983640967057784,0.2721860214471817,0.026436622679600952,0.27431292390823364,0.023649557045204096,0.2908254761695862,0.040546535293491906,0.31942482590675353,0.055223783907242446,0.20149007999897003,0.04308145006700371,0.28353163540363313,0.06995767308774083,0.23460110914707183,0.02319924220057552,0.3817811179161072,0.013353501561008636,0.29750618219375613,0.05921421849786021,0.3280501537322998,0.06735714609054508
0.03,0.3481334213018417,0.07336686933028254,0.2860609105825424,0.04286499093328825,0.42210022819042203,0.0483695946660166,0.32058165669441224,0.07568116516597978,0.3191524000167847,0.09699116942589901,0.2805632381439209,0.07983640967057784,0.2721860214471817,0.026436622679600952,0.27431292390823364,0.023649557045204096,0.2908254761695862,0.040546535293491906,0.31942482590675353,0.055223783907242446,0.20149007999897003,0.04308145006700371,0.28353163540363313,0.06995767308774083,0.23460110914707183,0.02319924220057552,0.3817811179161072,0.013353501561008636,0.29750618219375613,0.05921421849786021,0.3280501537322998,0.06735714609054508
0.035,0.3481334213018417,0.07336686933028254,0.2860609105825424,0.04286499093328825,0.42210022819042203,0.0483695946660166,0.32058165669441224,0.07568116516597978,0.3191524000167847,0.09699116942589901,0.2805632381439209,0.07983640967057784,0.2721860214471817,0.026436622679600952,0.27431292390823364,0.023649557045204096,0.2908254761695862,0.040546535293491906,0.31942482590675353,0.055223783907242446,0.20149007999897003,0.04308145006700371,0.28353163540363313,0.06995767308774083,0.23460110914707183,0.02319924220057552,0.3817811179161072,0.013353501561008636,0.29750618219375613,0.05921421849786021,0.3280501537322998,0.06735714609054508
0.04,0.3481334213018417,0.07336686933028254,0.2860609105825424,0.04286499093328825,0.42210022819042203,0.0483695946660166,0.32058165669441224,0.07568116516597978,0.3191524000167847,0.09699116942589901,0.2805632381439209,0.07983640967057784,0.2721860214471817,0.026436622679600952,0.27431292390823364,0.023649557045204096,0.2908254761695862,0.040546535293491906,0.31942482590675353,0.055223783907242446,0.20149007999897003,0.04308145006700371,0.28353163540363313,0.06995767308774083,0.23460110914707183,0.02319924220057552,0.3817811179161072,0.013353501561008636,0.29750618219375613,0.05921421849786021,0.3280501537322998,0.06735714609054508
0.045,0.3481334213018417,0.07336686933028254,0.2860609105825424,0.04286499093328825,0.42210022819042203,0.0483695946660166,0.32058165669441224,0.07568116516597978,0.3191524000167847,0.09699116942589901,0.2805632381439209,0.07983640967057784,0.2721860214471817,0.026436622679600952,0.27431292390823364,0.023649557045204096,0.2908254761695862,0.040546535293491906,0.31942482590675353,0.055223783907242446,0.20149007999897003,0.04308145006700371,0.28353163540363313,0.06995767308774083,0.23460110914707183,0.02319924220057552,0.3817811179161072,0.013353501561008636,0.29750618219375613,0.05921421849786021,0.3280501537322998,0.06735714609054508
