Coverage,Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),GMM_spatial (Mean Risk),GMM_spatial (Std Dev),GMM (Mean Risk),GMM (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev),Mean (Mean Risk),Mean (Std Dev),Quantile fg. ratio (Mean Risk),Quantile fg. ratio (Std Dev),GMM_pixel (Mean Risk),GMM_pixel (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev),Threshold 0.7 (Mean Risk),Threshold 0.7 (Std Dev)
0.0,0.27716611528396606,0.06510832352462587,0.29098882162570955,0.03527432997266723,0.30468513917922974,0.04720727559626746,0.32589007139205933,0.08980704491739189,0.22153036475181578,0.055471177613511446,0.24065296566486358,0.08867067562768796,0.30448543846607207,0.04726619684489494,0.3486268424987793,0.05234235159875938,0.36047962272167205,0.0458296010014714,0.291950865149498,0.04183576609494516,0.21721623539924623,0.0454567380721109,0.2652603405714035,0.05046252544016146,0.27841545510292054,0.06064570947726987,0.31203421103954315,0.039952858579879444,0.3758362885713577,0.031510068193264074,0.35901597452163697,0.0698192955875151
0.005,0.27716611528396606,0.06510832352462587,0.29098882162570955,0.03527432997266723,0.30468513917922974,0.04720727559626746,0.32589007139205933,0.08980704491739189,0.22153036475181578,0.055471177613511446,0.24065296566486358,0.08867067562768796,0.30448543846607207,0.04726619684489494,0.3486268424987793,0.05234235159875938,0.36047962272167205,0.0458296010014714,0.291950865149498,0.04183576609494516,0.21721623539924623,0.0454567380721109,0.2652603405714035,0.05046252544016146,0.27841545510292054,0.06064570947726987,0.31203421103954315,0.039952858579879444,0.3758362885713577,0.031510068193264074,0.35901597452163697,0.0698192955875151
0.01,0.27716611528396606,0.06510832352462587,0.29098882162570955,0.03527432997266723,0.30468513917922974,0.04720727559626746,0.32589007139205933,0.08980704491739189,0.22153036475181578,0.055471177613511446,0.24065296566486358,0.08867067562768796,0.30448543846607207,0.04726619684489494,0.3486268424987793,0.05234235159875938,0.36047962272167205,0.0458296010014714,0.291950865149498,0.04183576609494516,0.21721623539924623,0.0454567380721109,0.2652603405714035,0.05046252544016146,0.27841545510292054,0.06064570947726987,0.31203421103954315,0.039952858579879444,0.3758362885713577,0.031510068193264074,0.35901597452163697,0.0698192955875151
0.015,0.27716611528396606,0.06510832352462587,0.29098882162570955,0.03527432997266723,0.30468513917922974,0.04720727559626746,0.32589007139205933,0.08980704491739189,0.22153036475181578,0.055471177613511446,0.24065296566486358,0.08867067562768796,0.30448543846607207,0.04726619684489494,0.3486268424987793,0.05234235159875938,0.36047962272167205,0.0458296010014714,0.291950865149498,0.04183576609494516,0.21721623539924623,0.0454567380721109,0.2652603405714035,0.05046252544016146,0.27841545510292054,0.06064570947726987,0.31203421103954315,0.039952858579879444,0.3758362885713577,0.031510068193264074,0.35901597452163697,0.0698192955875151
0.02,0.27716611528396606,0.06510832352462587,0.29098882162570955,0.03527432997266723,0.30468513917922974,0.04720727559626746,0.32589007139205933,0.08980704491739189,0.22153036475181578,0.055471177613511446,0.24065296566486358,0.08867067562768796,0.30448543846607207,0.04726619684489494,0.3486268424987793,0.05234235159875938,0.36047962272167205,0.0458296010014714,0.291950865149498,0.04183576609494516,0.21721623539924623,0.0454567380721109,0.2652603405714035,0.05046252544016146,0.27841545510292054,0.06064570947726987,0.31203421103954315,0.039952858579879444,0.3758362885713577,0.031510068193264074,0.35901597452163697,0.0698192955875151
0.025,0.27716611528396606,0.06510832352462587,0.29098882162570955,0.03527432997266723,0.30468513917922974,0.04720727559626746,0.32589007139205933,0.08980704491739189,0.22153036475181578,0.055471177613511446,0.24065296566486358,0.08867067562768796,0.30448543846607207,0.04726619684489494,0.3486268424987793,0.05234235159875938,0.36047962272167205,0.0458296010014714,0.291950865149498,0.04183576609494516,0.21721623539924623,0.0454567380721109,0.2652603405714035,0.05046252544016146,0.27841545510292054,0.06064570947726987,0.31203421103954315,0.039952858579879444,0.3758362885713577,0.031510068193264074,0.35901597452163697,0.0698192955875151
0.03,0.27716611528396606,0.06510832352462587,0.29098882162570955,0.03527432997266723,0.30468513917922974,0.04720727559626746,0.32589007139205933,0.08980704491739189,0.22153036475181578,0.055471177613511446,0.24065296566486358,0.08867067562768796,0.30448543846607207,0.04726619684489494,0.3486268424987793,0.05234235159875938,0.36047962272167205,0.0458296010014714,0.291950865149498,0.04183576609494516,0.21721623539924623,0.0454567380721109,0.2652603405714035,0.05046252544016146,0.27841545510292054,0.06064570947726987,0.31203421103954315,0.039952858579879444,0.3758362885713577,0.031510068193264074,0.35901597452163697,0.0698192955875151
0.035,0.27716611528396606,0.06510832352462587,0.29098882162570955,0.03527432997266723,0.30468513917922974,0.04720727559626746,0.32589007139205933,0.08980704491739189,0.22153036475181578,0.055471177613511446,0.24065296566486358,0.08867067562768796,0.30448543846607207,0.04726619684489494,0.3486268424987793,0.05234235159875938,0.36047962272167205,0.0458296010014714,0.291950865149498,0.04183576609494516,0.21721623539924623,0.0454567380721109,0.2652603405714035,0.05046252544016146,0.27841545510292054,0.06064570947726987,0.31203421103954315,0.039952858579879444,0.3758362885713577,0.031510068193264074,0.35901597452163697,0.0698192955875151
0.04,0.27716611528396606,0.06510832352462587,0.29098882162570955,0.03527432997266723,0.30468513917922974,0.04720727559626746,0.32589007139205933,0.08980704491739189,0.22153036475181578,0.055471177613511446,0.24065296566486358,0.08867067562768796,0.30448543846607207,0.04726619684489494,0.3486268424987793,0.05234235159875938,0.36047962272167205,0.0458296010014714,0.291950865149498,0.04183576609494516,0.21721623539924623,0.0454567380721109,0.2652603405714035,0.05046252544016146,0.27841545510292054,0.06064570947726987,0.31203421103954315,0.039952858579879444,0.3758362885713577,0.031510068193264074,0.35901597452163697,0.0698192955875151
0.045,0.27716611528396606,0.06510832352462587,0.29098882162570955,0.03527432997266723,0.30468513917922974,0.04720727559626746,0.32589007139205933,0.08980704491739189,0.22153036475181578,0.055471177613511446,0.24065296566486358,0.08867067562768796,0.30448543846607207,0.04726619684489494,0.3486268424987793,0.05234235159875938,0.36047962272167205,0.0458296010014714,0.291950865149498,0.04183576609494516,0.21721623539924623,0.0454567380721109,0.2652603405714035,0.05046252544016146,0.27841545510292054,0.06064570947726987,0.31203421103954315,0.039952858579879444,0.3758362885713577,0.031510068193264074,0.35901597452163697,0.0698192955875151
0.05,0.27716611528396606,0.06510832352462587,0.29098882162570955,0.03527432997266723,0.30468513917922974,0.04720727559626746,0.32589007139205933,0.08980704491739189,0.22153036475181578,0.055471177613511446,0.24065296566486358,0.08867067562768796,0.30448543846607207,0.04726619684489494,0.3486268424987793,0.05234235159875938,0.36047962272167205,0.0458296010014714,0.291950865149498,0.04183576609494516,0.21721623539924623,0.0454567380721109,0.2652603405714035,0.05046252544016146,0.27841545510292054,0.06064570947726987,0.31203421103954315,0.039952858579879444,0.3758362885713577,0.031510068193264074,0.35901597452163697,0.0698192955875151
0.055,0.27716611528396606,0.06510832352462587,0.29098882162570955,0.03527432997266723,0.30468513917922974,0.04720727559626746,0.32589007139205933,0.08980704491739189,0.22153036475181578,0.055471177613511446,0.24065296566486358,0.08867067562768796,0.30448543846607207,0.04726619684489494,0.3486268424987793,0.05234235159875938,0.36047962272167205,0.0458296010014714,0.291950865149498,0.04183576609494516,0.21721623539924623,0.0454567380721109,0.2652603405714035,0.05046252544016146,0.27841545510292054,0.06064570947726987,0.31203421103954315,0.039952858579879444,0.3758362885713577,0.031510068193264074,0.35901597452163697,0.0698192955875151
