Aggregator,AURC,AURC_std
Equally-w. class avg.,0.682859845331175,0.0
Imbalance-w. class avg.,0.7150776853954062,0.0
Mean,0.7116564249601358,0.0
Threshold 0.3,0.6553218635746965,0.0
Threshold 0.5,0.619456714037766,0.0
Threshold 0.7,0.6014612845396992,0.0
Quantile 0.6,0.7114437922112467,0.0
Quantile 0.75,0.7109751414966416,0.0
Quantile 0.9,0.7007811080382987,0.0
Quantile fg. ratio,0.6423953334869332,0.0
Patch 10,0.6565727864786659,0.0
Patch 20,0.6656523613160054,0.0
Patch 50,0.6690573990477782,0.0
GMM,0.5449645039193283,0.0
GMM,0.5449645039193283,0.0
Threshold 0.7,0.6014612845396992,0.0
Threshold 0.5,0.619456714037766,0.0
Quantile fg. ratio,0.6423953334869332,0.0
Threshold 0.3,0.6553218635746965,0.0
Patch 10,0.6565727864786659,0.0
Patch 20,0.6656523613160054,0.0
Patch 50,0.6690573990477782,0.0
Equally-w. class avg.,0.682859845331175,0.0
Quantile 0.9,0.7007811080382987,0.0
Quantile 0.75,0.7109751414966416,0.0
Quantile 0.6,0.7114437922112467,0.0
Mean,0.7116564249601358,0.0
Imbalance-w. class avg.,0.7150776853954062,0.0
