uq_map_name,BCA,ICA,AVG,ATA 0.3,ATA 0.5,ATA 0.7,AQA 0.60,AQA 0.75,AQA 0.90,QFR,PLM 10,PLM 20,PLM 50,is_ood,GMM-All,GMM-Int,GMM-Spa
crag_57_TILE_4,0.4434090349564709,0.30526210987321,0.2295595069451476,0.3467097175415851,0.605565594944073,0.7350257940514315,0.3397725919867231,0.3593900851297795,0.38230784858812616,0.35793644816674897,0.6369127580745099,0.44523642373940164,0.33492008665885614,0,0.0069754223798816,0.0045765986381844,0.0945874335724756
crag_57_TILE_34,0.40068688865550606,0.3219674146685121,0.24235261356263293,0.35216504453829817,0.5879007331844408,0.7497586221009223,0.3481971366727112,0.368877387319812,0.4055481413121721,0.36777191921965463,0.609271902652762,0.45090878370802073,0.3651619564874041,0,0.0166960388500199,0.0101315993803227,0.1984544691569217
crag_45_TILE_10,0.35954237428078717,0.3173788870320373,0.19722507681881774,0.3485373586330315,0.5693145103446328,0.7802506699014411,0.32996524304908453,0.35774174886803256,0.38290806028966545,0.36232245758372755,0.549196232907423,0.4859278317003033,0.3418248114878091,0,0.0029081591958807,0.0011778703945611,0.0067209670715509
crag_45_TILE_14,0.4738854061294929,0.31634704156564836,0.24806920398203183,0.3458346929876275,0.5550951972429271,0.7472603826060145,0.3468654041296916,0.3605639962419774,0.37949028669299234,0.358236736333712,0.49947757199084963,0.38820324295950875,0.3414871579443758,0,0.0038350261434207,0.0017959701870431,0.0210828983669017
crag_45_TILE_28,0.30697967364009116,0.30697967364009116,0.16569169943101955,0.3427228622527377,0.5566755203011113,0.7251788132073143,0.3014272528619465,0.34497573157085737,0.36313194721843833,0.35339820973244357,0.4916260685080618,0.3696081463541501,0.33247472536021094,0,0.0029699962122486,0.0011091920554092,0.0071297857006029
crag_12_TILE_31,0.44673934196465453,0.33129248846019327,0.16342875543750474,0.36412950429410806,0.5809705687645986,0.7319657890831053,0.2707278345546507,0.3374009916891365,0.40283045342240326,0.3830161052642397,0.6133507198183968,0.39423725135876286,0.3090711043291608,0,0.005022509586947,0.0020041802994817,0.0117712870109906
crag_47_TILE_8,0.41761287703582495,0.3232536213954943,0.23519339170639408,0.36059908126716206,0.5774610625195211,0.748113126139704,0.3430649784540629,0.374539519948121,0.4286762688109315,0.38156494310544214,0.6342742614582901,0.4605766844690455,0.3842019386892951,0,0.0028156853467014,0.0010933492906952,0.0233940726315486
crag_63_TILE_10,0.46421978545585757,0.37695500906694324,0.21187750319912707,0.3861259609671659,0.5632935026833207,0.7086176361582891,0.33454470109504914,0.3902680691781746,0.4800222901705909,0.4367574072808938,0.5990817602291115,0.43927047926854973,0.34568396957575187,0,0.0711155563148574,0.0447017454659687,0.1121842273415115
crag_63_TILE_16,0.33189620597085306,0.2980744286201186,0.166024174806785,0.3481859439325826,0.5747380536230369,0.765745332746593,0.2870149809039601,0.33947551156162137,0.3778391396890794,0.3553888239999237,0.4657178635033366,0.35915986285642154,0.3182859839722571,0,0.0148081270656334,0.01206846155882,0.0631871838848661
crag_63_TILE_17,0.4628376289475786,0.32672123434108613,0.16603704255432492,0.3725973053034392,0.5871872450446878,0.7521974234719632,0.28896601968237445,0.35353802831679026,0.4293690377258702,0.3873677226226655,0.7221852549922404,0.43931431306575797,0.3165506282493241,0,0.0144952240185309,0.0095368419230671,0.0350897297283554
