uq_map_name,BCA,ICA,AVG,ATA 0.3,ATA 0.5,ATA 0.7,AQA 0.60,AQA 0.75,AQA 0.90,QFR,PLM 10,PLM 20,PLM 50,is_ood,GMM-All,GMM-Int,GMM-Spa
crag_57_TILE_4,0.43297650304478186,0.3063981999766958,0.2235294133424759,0.40537551122639437,0.5466778094951923,0.705078125,0.3714663547601999,0.4275683792339222,0.47995320997014757,0.4219754595566394,0.49981933593749994,0.435888671875,0.380538330078125,0,0.0054500106688537,0.0057910912384702,0.1245651410512286
crag_57_TILE_34,0.3856617820086312,0.3256172113891181,0.23117727041244507,0.4057563226396536,0.5534094441992939,0.7330729166666666,0.37572055635907037,0.4300539899907925,0.48566940805060654,0.4262687732332145,0.5847558593750002,0.42372314453125,0.3939263916015625,0,0.0084635732320432,0.041860209175141,0.3772186204266669
crag_45_TILE_10,0.37018132869555076,0.32071006024695337,0.1911410316824913,0.408425077147629,0.55576391551636,0.718994140625,0.34881091081503507,0.4181307364648675,0.4801544882294682,0.4324797591794428,0.5904248046875,0.460675048828125,0.4018206787109375,0,0.0029517414053474,0.004082084773508,0.0089288504770976
crag_45_TILE_14,0.4146789517718448,0.3240879081026286,0.2487965151667595,0.40564946789505923,0.5227642004985755,0.0,0.39314036389244655,0.43838292695440767,0.4816731473010064,0.429832522585735,0.4705517578125001,0.442286376953125,0.4051626586914063,0,0.0021617992805613,0.0018610496428042,0.0108953606245928
crag_45_TILE_28,0.30939547990685323,0.30939547990685323,0.16027607768774033,0.40364165380658434,0.5239466225228658,0.0,0.3085168121433802,0.3953222120004576,0.46668829363378295,0.4243554161523788,0.4704296875000001,0.4169140624999998,0.37062866210937495,0,0.0026365400602601,0.0054141798197613,0.166318390250843
crag_12_TILE_31,0.38595329688488234,0.31632838272619174,0.12906717509031296,0.40614851599981894,0.5420340401785714,0.0,0.2346207889194696,0.32755780135288665,0.4494454280730517,0.41839975383194417,0.4649462890625001,0.396036376953125,0.3044717407226562,0,0.0048908607514844,0.0053115068950481,0.0788967343093575
crag_47_TILE_8,0.36337245221331055,0.3056711673139424,0.2098921611905098,0.4066308136540345,0.5508913477944893,0.704833984375,0.34702591382070436,0.41298846978515724,0.4834034751460325,0.42783981325061093,0.53984375,0.4191064453125,0.34424591064453125,0,0.0017851124647894,0.0005941977935756,0.0143805481943948
crag_63_TILE_10,0.40636377775081717,0.3640927221796183,0.1701774224638939,0.4165784831683287,0.550329066109736,0.0,0.2993327075534861,0.38728894946825415,0.4851896692799513,0.45655436498650687,0.5545458984375,0.4223388671875,0.3562231445312499,0,0.0511238240520322,0.1316451079897491,0.0884072267112148
crag_63_TILE_16,0.3331154341484218,0.2886611206338512,0.14401160180568695,0.39742825473312043,0.5324663434709821,0.732421875,0.26846653202126364,0.3554735180805615,0.45011209535013635,0.39392043403022403,0.4672753906250001,0.40529541015625,0.337608642578125,0,0.0094132801982814,0.0483415146435065,0.297852097515047
crag_63_TILE_17,0.3918592863266297,0.30856738904256376,0.13550280779600143,0.40953620585802647,0.5559840926204819,0.0,0.25420784599576596,0.34607724548780644,0.4623829911394817,0.40580261904702775,0.5020361328125,0.448592529296875,0.3373370361328124,0,0.0059879928457663,0.0062069764980529,0.0133851582980005
