uq_map_name,dataset_name,noise_level,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
0603_00,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.027275557873735777,0.518774219114205,0.6268758427712225,0.0,0.0,0.0,0.03896780085483842,0.054551115747471075,0.09088823672627369,0.24869189852076332,0.24406014592165037,0.30537253472662984,0.13681197644464857,0.06977737111012813,0.0174563570391909,0.011172068505082176,0.11499469675385006,0.11499469675385006,0.0041993256437389
0644_01,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.003096016496479578,0.5365115781625112,0.6072362720966339,0.0,0.0,0.0,0.00442318924645286,0.006192032992959154,0.010318375565158622,0.030929955647571106,0.15163754458056697,0.09101976912910353,0.031362587716672156,0.007925771108989886,0.00198145055774693,0.0012681283569580357,0.06853926867082827,0.06853926867082827,0.0556368028921158
0453_01,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.004487378095312914,0.5106810430685679,0.5989173809687297,0.0,0.0,0.0,0.006410987331148132,0.008974756190625828,0.014955492822132056,0.04482988404503813,0.14088174873210776,0.08704081016270548,0.045934130685613785,0.011487660924197278,0.002871921981000265,0.0018380300678401706,0.07463666161501757,0.07463666161501757,0.0177851152041099
0299_02,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.0021502042855119944,0.48118527606129646,0.6230175296465555,0.0,0.0,0.0,0.0030719346890328313,0.004300408571023987,0.0071661812477275145,0.021481065170582563,0.21390403577739872,0.0864486154872534,0.02200835391913192,0.005504507220352216,0.0013761307427276764,0.0008807236753457133,0.11693620546776022,0.11693620546776022,0.0037198376312341
0574_01,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.0025485963123288444,0.5815984482566515,0.6544049382209778,0.0,0.0,0.0,0.0036411058581440345,0.005097192624657688,0.008493938564116222,0.025461090946522734,0.18725205453282054,0.10018912515367129,0.02608041358461726,0.006524403285644371,0.00163110163989046,0.001043905049529895,0.08394167902915428,0.08394167902915428,0.0062442009816788
0115_00,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.001403116874553637,0.5161317672048297,0.6103560477495193,0.0,0.0,0.0,0.002004592507210219,0.0028062337491072745,0.004676295132767852,0.014017479581825861,0.2033478786304061,0.055608443444247514,0.013997708542455231,0.0035893192190625954,0.0008979947997143277,0.0005747166718171701,0.10559585831397812,0.10559585831397812,0.0467766143307226
0623_00,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.004834592801717126,0.518817988426789,0.6227433139627631,0.0,0.0,0.0,0.006907042942390426,0.009669185603434252,0.016112686831321367,0.048289780282605686,0.20725548138412145,0.12315654926237679,0.04917158537966113,0.012376498704363099,0.0030941393930989606,0.001980249211583336,0.127848924135764,0.127848924135764,0.02375644824857
0475_01,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.0016846598019663295,0.5649410155084398,0.6085798825536456,0.0,0.0,0.0,0.0024068247467227367,0.003369319603932659,0.005614618835519994,0.016830162281675998,0.2217125436441312,0.06761729832164075,0.01724759796586542,0.004312684295054269,0.0010781822732584513,0.0006900366548854089,0.13680499767377757,0.13680499767377757,0.0632056981124125
0622_02,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.0032311084598935953,0.5656519872801644,0.6385140657424927,0.0,0.0,0.0,0.004616191228365597,0.006462216919787191,0.010768608829718505,0.03227955476418519,0.11448347639171001,0.07089877121217483,0.033079072024470066,0.008271511188921625,0.0020679094143319014,0.0013234620251724172,0.06535185609772118,0.06535185609772118,0.0124980529131387
0644_02,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.0013575516473802488,0.4838833659887314,0.5424800316492716,0.0,0.0,0.0,0.0019394947846771888,0.002715103294760498,0.00452443575888486,0.013562272023974245,0.153344368445687,0.055511402792371836,0.013886459943050333,0.003474715855999421,0.0008688330543233596,0.0005560531547669502,0.07784884296396775,0.07784884296396775,0.0405988047322782
0048_00,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.002107012065625246,0.5146436740954717,0.6001978857176644,0.0,0.0,0.0,0.003010227213394142,0.004214024131250491,0.007022230610903985,0.021049563130819106,0.1782260634111784,0.08474399260076389,0.02156622778330354,0.005393618997053983,0.0013484877220001574,0.0008630321420801011,0.08759380326524502,0.08759380326524502,0.0250471345683889
0221_02,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.002240698490764791,0.546562448143959,0.6152945889366997,0.0,0.0,0.0,0.003201221143415621,0.004481396981529582,0.007467779510311296,0.022385124409469364,0.19903701372728075,0.08924485040720713,0.022942523765744283,0.005736181852564846,0.0014340470340894669,0.0009177901018172589,0.1106905839157681,0.1106905839157681,0.0378411746258167
0038_03,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.007023830612433623,0.5090775892541215,0.6231189685709336,0.0,0.0,0.0,0.010034743700219086,0.014047661224867246,0.023408958655670067,0.0701286587432927,0.14924691030755638,0.097035906422675,0.07072155854914856,0.017938786084179467,0.00449525159195752,0.002876961018852813,0.08861120606900266,0.08861120606900266,0.0237328648997691
0381_00,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.015674861492628703,0.5198108328636303,0.6300453290026239,0.0,0.0,0.0,0.022394221372098767,0.03134972298525739,0.05224103547170777,0.15563926938012607,0.2609264026238125,0.20066801081120503,0.14270226941744982,0.04004311609984027,0.010031911355282372,0.00642042326738072,0.1326638426128527,0.1326638426128527,0.0471079269011393
0078_01,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.0025563093180862462,0.49994802474975586,0.6523574988047282,0.0,0.0,0.0,0.0036521252064462026,0.005112618636172492,0.008519644399415183,0.025538153540746917,0.1537454655900707,0.10414566712135946,0.026175967146318185,0.006544026947488587,0.0016360379635751976,0.001047064296688127,0.10097598399131029,0.10097598399131029,0.0100747275676068
0139_00,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.0012884766341883596,0.5412684281667074,0.5937041193246841,0.0,0.0,0.0,0.001840809310650688,0.002576953268376719,0.004294223184313939,0.01287218655863335,0.12711415981601287,0.05225231878701574,0.013130364898324092,0.003297419806420662,0.0008246250458805505,0.0005277600293635527,0.05698628515232082,0.05698628515232082,0.0054468131345221
0790_00,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.004425250582139384,0.5433927040833694,0.6020319428708818,0.0,0.0,0.0,0.006322227549509213,0.008850501164278768,0.014748434812402218,0.04420930442908598,0.1873162915726425,0.11204675184539623,0.045292095431538254,0.011328389842652125,0.002832160372569206,0.001812582638444292,0.12088938620133183,0.12088938620133183,0.0511958932068771
0254_02,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.0021466277803935093,0.572071336209774,0.6367763057351112,0.0,0.0,0.0,0.0030668250395855657,0.004293255560787019,0.007154261504061685,0.021445333698056207,0.1816044246564464,0.08443839155543792,0.02130166861733689,0.005493366271017438,0.0013738417794518462,0.000879258738849182,0.08856602423559239,0.08856602423559239,0.0034437336251798
1000_04,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.008077414279630622,0.5345156368536826,0.6413610171188008,0.0,0.0,0.0,0.011539968220916299,0.016154828559261234,0.0269203274703136,0.08057003124722098,0.17856724375531405,0.11567569533346289,0.08191833334034047,0.020677492949382058,0.0051695451389635995,0.003308508888936704,0.08324309003512624,0.08324309003512624,0.0010258787618634
0042_02,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.007060247737317302,0.5661834189968724,0.6185993344887443,0.0,0.0,0.0,0.010086771793530404,0.014120495474634603,0.0235303293181867,0.07050634562463795,0.16598856010857752,0.1049175457139395,0.07086390167365565,0.018073540987899178,0.004518558551883075,0.0028918774732051675,0.0911619347290841,0.0911619347290841,0.0078098780583795
0447_00,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.005332819978668017,0.5134705195824305,0.6203129847844442,0.0,0.0,0.0,0.007618845703740565,0.010665639957336034,0.017773173826382535,0.05327613632546467,0.26117939055885797,0.142034277550312,0.054598531086253975,0.013651971691148486,0.0034130047863475317,0.0021843230632624206,0.1241788214790261,0.1241788214790261,0.0057888806868717
0042_04,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.0033223889335622456,0.5322204185159582,0.6430168747901917,0.0,0.0,0.0,0.004746601001698974,0.00664477786712449,0.011072827560513388,0.03319147567915215,0.24173676642489486,0.13182119790126223,0.033684943523909903,0.008505258028043193,0.002126328917479837,0.0013608505071870966,0.12370864483290955,0.12370864483290955,0.0086286229870816
0025_00,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.008293653041070161,0.5227944864468141,0.6065818117215083,0.0,0.0,0.0,0.011848902286788759,0.016587306082140322,0.027641011274358845,0.08285444937662138,0.31171236336961683,0.18360141335426305,0.08483306182961402,0.0212314248009354,0.005307937946284905,0.0033970802856223394,0.17686500657210297,0.17686500657210297,0.0177447534672833
0023_05,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.0021479957720708627,0.5646537575456831,0.6033731188092913,0.0,0.0,0.0,0.003068779449739188,0.004295991544141725,0.007158820734257325,0.021459001649793984,0.1254358469766365,0.07106405127613764,0.021991004812488484,0.00549866815652166,0.0013747172941253518,0.0008798190682402258,0.04752190296934381,0.04752190296934381,0.0142457886904849
0794_00,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.001933038668591563,0.5301725783131339,0.6197030288832528,0.0,0.0,0.0,0.0027616764515350687,0.003866077337183126,0.0064424136587071116,0.019311527769067933,0.21950591785005397,0.07643598878767541,0.01912342991515568,0.004864793117202723,0.0012371447478986006,0.0007917726386551043,0.10136365661756186,0.10136365661756186,0.0135238968092345
0439_05,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.002026171591832867,0.5060083405538038,0.5952949623266856,0.0,0.0,0.0,0.002894732766008867,0.0040523431836657344,0.006752806216556073,0.020241948270082258,0.19660375388117418,0.07947286895554208,0.02038011040359205,0.005186961774210587,0.001296749818773035,0.0008299198840147426,0.09848557518317046,0.09848557518317046,0.0052832150143025
0812_02,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.023770741087918774,0.527836066766048,0.6239796453400662,0.0,0.0,0.0,0.03396057045556864,0.04754148217583755,0.07922280826648434,0.23130450842038888,0.23181695925996326,0.28779276102533907,0.15579871315604327,0.060841351009157135,0.015213274296268018,0.009736495549611531,0.13185696590552573,0.13185696590552573,0.0169989618667642
0348_00,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.024288016117177957,0.526843364121484,0.6189084216339947,0.0,0.0,0.0,0.03469958633273837,0.04857603223435591,0.08094665715164516,0.2327786507857282,0.21366913441107072,0.2267851408966817,0.11260283958006417,0.062172400489458275,0.015544330314993892,0.009948371401596092,0.10831589352564827,0.10831589352564827,0.0228467038526259
0274_00,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.006233213157134318,0.48872338673647714,0.5981035162420834,0.0,0.0,0.0,0.008905211402728347,0.012466426314268635,0.020773996005948783,0.06226702461266009,0.13979541952335867,0.09534558040077888,0.06256513567008193,0.015953015697019683,0.003989256420565965,0.002553124109162218,0.07551002797462168,0.07551002797462168,0.0018723946114144
0926_00,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.010923153793766098,0.5328866290111168,0.6204983139860218,0.0,0.0,0.0,0.015605593979513756,0.0218463075875322,0.03640458733713514,0.10816882515962167,0.18109877279691272,0.13162992202837814,0.09685444137512064,0.02796320951480924,0.006990818428010304,0.004474123793926595,0.09142921712760756,0.09142921712760756,0.0044427732739067
0122_00,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.004276995968228942,0.5290592407638376,0.6434397238951463,0.0,0.0,0.0,0.006110420469433465,0.008553991936457886,0.014254333186178993,0.04270954748509855,0.197420442140246,0.1299775356176284,0.04289500785740637,0.010944616098977216,0.0027372774196665235,0.0017518575485865756,0.10346687022181122,0.10346687022181122,0.0090401030143995
0845_01,joint_noise_lidc_fgbg_texture_dropout_pu_0_00,0_00,0.005182467826106584,0.5212706900559939,0.6098487536112468,0.0,0.0,0.0,0.007404041930844984,0.010364935652213168,0.017272081542484184,0.05177382834359688,0.17740392653631562,0.09449016372916405,0.05263699494154314,0.013263499822464617,0.0033167794087082137,0.0021227388215732577,0.07225273022720763,0.07225273022720763,0.0078259547652201
