uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
0189_04,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0017312115639160181,0.5056001792351404,0.6196592251459757,0.0,0.0,0.0,0.0017312115639160181,0.003462423127832036,0.00576976612351506,0.01729522570762306,0.17923314852687794,0.0690787330436901,0.01736953302972528,0.004431901428722768,0.0011079754009062515,0.0007091042565800012,0.1283739130742702,0.1283739130742702,0.0066273286748451
0507_01,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0008277440525819428,0.420001232624054,0.529598593711853,0.0,0.0,0.0,0.0008277440525819428,0.0016554881051638855,0.002758697835130706,0.00826936497385728,0.12056018944297518,0.03246949085526166,0.008475586456594004,0.0021190031703947,0.0005297561936524435,0.0003390439639375639,0.05871258838841296,0.05871258838841296,0.0133948813765778
0507_00,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0024449808593364694,0.5512374894959586,0.6212670869297452,0.0,0.0,0.0,0.0024449808593364694,0.004889961718672938,0.008148609926641315,0.024425955120344314,0.285001027717122,0.09850627523678467,0.02463263927591838,0.006258647061128791,0.0015647877499753405,0.0010014641599842182,0.1053132357104815,0.1053132357104815,0.028930112600139
0419_03,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0011930617253175645,0.49122224748134613,0.5754836400349935,0.0,0.0,0.0,0.0011930617253175645,0.002386123450635129,0.003976225245647473,0.011918977626569117,0.18682474046587372,0.048846875106872245,0.012216812802631595,0.0030542261573465916,0.0007635595042032413,0.0004886780826900746,0.1290405492399342,0.1290405492399342,0.027786372520533
0380_00,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.002832484754891005,0.530217444524169,0.6365864740477668,0.0,0.0,0.0,0.002832484754891005,0.005664969509782009,0.009440079378383691,0.028297213549879435,0.18120175621970702,0.11273249857637996,0.028291593095025408,0.007162039158686979,0.0018127902431302435,0.0011601857556033561,0.10468013054732352,0.10468013054732352,0.0097964555780334
0870_00,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.001915413004285063,0.49080194234848024,0.6445197314023972,0.0,0.0,0.0,0.001915413004285063,0.0038308260085701262,0.006383671005330853,0.01913544308404175,0.18147206640000954,0.07554771106493732,0.018900656047811142,0.00490345611066804,0.0012258643227424403,0.0007845531665551622,0.1033811113261877,0.1033811113261877,0.002374386446924
1012_02,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.003277423870290081,0.5579608976840973,0.6323988884687424,0.0,0.0,0.0,0.003277423870290081,0.006554847740580163,0.010922968407411046,0.03274226383168693,0.31594796142563586,0.13135641849319607,0.03355695443932136,0.00839020510780034,0.0020975512769856523,0.001342432817270818,0.15431091720170748,0.15431091720170748,0.0149181144773178
0394_01,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.002234479322281599,0.5703461517890295,0.6058502078056336,0.0,0.0,0.0,0.002234479322281599,0.004468958644563198,0.00744705232226642,0.022322993424515755,0.228713886589685,0.09149516591477211,0.02288100218886597,0.005720266890413091,0.0014300667662602237,0.0009152427304065435,0.1590611171276916,0.1590611171276916,0.0172479882008944
0057_06,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.003546881564662526,0.5340472825548865,0.5861883535981178,0.0,0.0,0.0,0.003546881564662526,0.007093763129325052,0.011821014555620592,0.03543421164788518,0.32218666264617984,0.11716971711065823,0.03631566315711169,0.009080015706600936,0.002270004201384017,0.0014528026888857716,0.1364066378566406,0.1364066378566406,0.0149214740053109
0027_03,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0019010651468977513,0.5606927086006511,0.6110357269644737,0.0,0.0,0.0,0.0019010651468977513,0.003802130293795503,0.006335852596983881,0.01899210449193394,0.22773599723244414,0.07784995828033014,0.019466896350978074,0.0048667258341944545,0.0012166816940145612,0.0007786762841693193,0.10921357209194564,0.10921357209194564,0.0158362429672058
0124_01,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.002398500862346961,0.5579948623975118,0.6427737921476364,0.0,0.0,0.0,0.002398500862346961,0.004797001724693921,0.007993701816251546,0.0239616086069755,0.2434527330682613,0.09485393271245901,0.023846742010509937,0.006140111141949239,0.0015350405519020552,0.0009824259532173153,0.12984820723123514,0.12984820723123514,0.0205471073179527
0189_05,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0015750056701416917,0.5869778841733932,0.6197262065751212,0.0,0.0,0.0,0.0015750056701416917,0.003150011340283384,0.00524916454426393,0.015734690792432424,0.24029938783496618,0.05867543380902796,0.015043144803800233,0.0039428899286272035,0.0010080036288906827,0.0006451223224900371,0.1593661329246043,0.1593661329246043,0.0091290452091583
0818_01,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0019964776546056943,0.5647549439560283,0.6405331268906593,0.0,0.0,0.0,0.0019964776546056943,0.003992955309211388,0.00665384253316918,0.019945298712847972,0.21941654328760263,0.08022822937035885,0.020085893640604403,0.005110982718387915,0.001277745698947644,0.0008177572473264927,0.12183766947382324,0.12183766947382324,0.0174744536188992
0870_06,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.003048061370654627,0.52655272020234,0.5962037902611953,0.0,0.0,0.0,0.003048061370654627,0.0060961227413092525,0.010158551158829417,0.030450876514217316,0.38344310728772996,0.12437038027581314,0.03120256915413205,0.007803037083966605,0.0019507592772189616,0.0012484859374201358,0.1465657762058864,0.1465657762058864,0.0260890190645599
0699_02,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.004683253254108495,0.5000814008712768,0.6334180384874344,0.0,0.0,0.0,0.004683253254108495,0.009366506508216993,0.01560830376633718,0.046786842241712,0.19016756664030254,0.11901402550437329,0.04772058164563155,0.011989128274159598,0.002997282082629437,0.0019182605328828405,0.0886050981204497,0.0886050981204497,0.0410802301936948
0038_00,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.014324076439211257,0.5490200214526233,0.6406488789702361,0.0,0.0,0.0,0.014324076439211257,0.02864815287842252,0.04773915141986112,0.14309864126172636,0.6496827529401196,0.3704595841941773,0.13122350237227634,0.03666956887369481,0.009167408921095209,0.005867141709500934,0.25849411560383134,0.25849411560383134,0.0145053740741928
0739_03,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.004675951206930665,0.5237697011658123,0.6229056604206562,0.0,0.0,0.0,0.004675951206930665,0.009351902413861328,0.015583967570047194,0.04671389302348902,0.3523894607877502,0.18394160164626253,0.04788030884100223,0.0119703892476732,0.0029926087724356258,0.0019152696143588013,0.13244343433302094,0.13244343433302094,0.0006113184102165
0207_00,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0031694609454918444,0.5316348969936371,0.625833186838362,0.0,0.0,0.0,0.0031694609454918444,0.006338921890983689,0.01056315055552042,0.03166368787162323,0.1410097397234969,0.09699104353932685,0.03245438887139877,0.008113819597051751,0.0020284550051147807,0.0012982112032734602,0.09293647497075168,0.09293647497075168,0.0215114303614516
0079_01,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0032002162444462797,0.5529994428157806,0.6267274856567383,0.0,0.0,0.0,0.0032002162444462797,0.00640043248889256,0.010665651535599646,0.03197094072388681,0.2209163078627849,0.11045576550163777,0.03276834960133424,0.00819255339659639,0.0020481383964456195,0.0013108085737251968,0.11560108720465347,0.11560108720465347,0.0089534603899001
0172_01,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0020780644128204455,0.6149295270442963,0.6379914954304695,0.0,0.0,0.0,0.0020780644128204455,0.004156128825640891,0.006925754137439011,0.020760370328806968,0.1888581489523252,0.08484393245880666,0.02127933441649304,0.005319842240379724,0.0013299612242050854,0.0008511751834912549,0.12750740507903338,0.12750740507903338,0.0293371189663301
0896_04,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0024755623428033354,0.5626678504049778,0.6057789738361652,0.0,0.0,0.0,0.0024755623428033354,0.004951124685606672,0.008250531616047569,0.024731471600197934,0.4302810705874277,0.10121047392725258,0.025349275282661662,0.006337425655236321,0.0015843598993941352,0.0010139903356122467,0.21754864227500548,0.21754864227500548,0.0082018581785169
0441_02,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.002719188891889898,0.4987233380476634,0.6392899453639984,0.0,0.0,0.0,0.002719188891889898,0.005438377783779797,0.00906248795865014,0.027165360246661174,0.262950047096681,0.11097310110210941,0.027844243013596705,0.006961123087319002,0.001740280890809535,0.0011137797701181028,0.11089197434961548,0.11089197434961548,0.0283779077522958
0147_01,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.004007767167195187,0.5139098453025023,0.6018677433331807,0.0,0.0,0.0,0.004007767167195187,0.008015534334390373,0.01335704989164482,0.04003857150313718,0.28151571435918066,0.1544849844723057,0.041034480882164076,0.010259883760828134,0.0025649709870049203,0.0016415814316831498,0.1402720538708043,0.1402720538708043,0.0224240603948906
0699_01,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.004296142088616704,0.5233889102935791,0.6323378682136536,0.0,0.0,0.0,0.004296142088616704,0.008592284177233405,0.014318143201768932,0.04291950706950882,0.2502496608666011,0.17184806820456913,0.04396548785843799,0.01099812351545964,0.0027495309367146902,0.0017596997994974025,0.15495100707529852,0.15495100707529852,0.0009830629804436
0379_00,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.003592393910701904,0.4545665706197421,0.6121955712636312,0.0,0.0,0.0,0.003592393910701904,0.007184787821403808,0.011972697687742066,0.03588889133888103,0.33609170165090335,0.1315352708021839,0.036777300778150196,0.009196528352750364,0.0022991321028492193,0.0014714445458235003,0.124331581782311,0.124331581782311,0.0191319939610738
0609_02,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.003623820122524039,0.5364644960923628,0.6019196391105652,0.0,0.0,0.0,0.003623820122524039,0.007247640245048077,0.012077434680112664,0.0362028468812609,0.2865697490416613,0.14324075357952382,0.036394654300524694,0.009187848843743076,0.0023192448784153845,0.0014843167221858468,0.08928863119385644,0.08928863119385644,0.0038991005192936
0117_00,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0030330845790065256,0.4817413128912449,0.5841132487569537,0.0,0.0,0.0,0.0030330845790065256,0.006066169158013052,0.010108636644109624,0.030301254715316955,0.20277199745330898,0.11869450472531913,0.031046003925718563,0.007764696382725585,0.001941174130564177,0.0012423514435610733,0.11533225988413122,0.11533225988413122,0.5212101713861835
0300_03,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.003576188890794099,0.5584985733032226,0.634703265769141,0.0,0.0,0.0,0.003576188890794099,0.007152377781588199,0.011918689745071303,0.03572699925925708,0.3358248215341984,0.11587404702282117,0.036260302230854344,0.009155034635143165,0.0022887608901082236,0.0014648069696692639,0.13271736492358482,0.13271736492358482,0.0160079168303037
0300_01,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0022659849171081867,0.6549327969551086,0.6549327969551086,0.0,0.0,0.0,0.0022659849171081867,0.004531969834216373,0.007552053881590832,0.022637742001150783,0.1971905710413418,0.09132502976303393,0.02284695660038962,0.005800906886086858,0.0014502303469492396,0.0009281474220475136,0.1456129961896692,0.1456129961896692,0.0116197801689212
0057_04,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0040475997746793405,0.5247777485847473,0.6388287459100995,0.0,0.0,0.0,0.0040475997746793405,0.008095199549358681,0.01348980364286947,0.04043650890506248,0.4006761494827898,0.16058135741534638,0.041065908002875934,0.010359883210177064,0.002590463855794778,0.0016578968677086585,0.22557423926742845,0.22557423926742845,0.0085196724759186
0784_06,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.001525384015851691,0.4619470006889767,0.5585049589474996,0.0,0.0,0.0,0.001525384015851691,0.0030507680317033827,0.005083785947053318,0.015238958363235583,0.2001362218551578,0.062473910681315,0.015619887339374512,0.003904983069371607,0.0009762457701450826,0.000624797292892853,0.08623586810802707,0.08623586810802707,0.0214736654186943
