uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
ADE_val_00001460,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0.2647561524669284,0.4285371149033417,0.5615294343442956,0.7169656739462391,0.0,0.0,0.34588427237550123,0.40284316529884756,0.4653404581661763,0.552768045106351,0.2647561524669284,0.6690389461735599,0.6266220296479621,0.5618631776134584,0.4276705218740351,0.4071096225629205,0.3614132782530728,0.2647561524669284,0.2091507463072797
ADE_val_00000381,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0.1124233798765999,0.4046078362878451,0.5723558223234394,0.7094795924286215,0.0,0.0,0.15780363989971025,0.19990728294580998,0.25159962046173157,0.3633767680305579,0.1124233798765999,0.5683614731597034,0.487390629705196,0.39497975664919116,0.262724958200914,0.22950181733431185,0.312481461500866,0.11242337987659988,0.2866838195700354
ADE_val_00000056,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0.08399833605949215,0.39580539275986126,0.5253816235784295,0.0,0.0,0.0,0.11478965088456024,0.14703094197909447,0.20183978252308943,0.3353244257998921,0.08399833605949215,0.557210522859554,0.5295168441281117,0.5056207051089894,0.3362615171357816,0.2691569994354136,0.2631513048833538,0.0839983360594921,0.0510768801439714
ADE_val_00001367,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0.0946612456938094,0.37814219127511306,0.5364211195924248,0.0,0.0,0.0,0.12866136514342574,0.1621812649262529,0.20917416076736597,0.30464331210698925,0.0946612456938094,0.5978378079594858,0.48351299635467115,0.36461714533753764,0.2874085814937742,0.2651786087357928,0.17936154664151516,0.0946612456938094,0.1152822047226216
ADE_val_00000197,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0.13549076781586528,0.4232072229084238,0.5758141359993326,0.0,0.0,0.0,0.18803754063249523,0.24321683917076684,0.32523227738162547,0.4666109164347873,0.13549076781586528,0.6773608674550637,0.668343623503333,0.6217401035599784,0.5204129215651004,0.4546177358181072,0.3439560135437997,0.13549076781586528,0.0178006448679667
ADE_val_00000678,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0.09602949256134302,0.45420091048196054,0.5446091859940128,0.0,0.0,0.0,0.13435563061045175,0.1743628000304799,0.24829770462970654,0.4431711226950859,0.09602949256134302,0.6112348849377462,0.5929485533032942,0.5749901646354357,0.5492736138562266,0.5230069207856336,0.27537837855375885,0.09602949256134301,0.026534990475384
ADE_val_00000436,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0.13035073032985328,0.4357220931839184,0.5808986796525202,0.7063212066339631,0.0,0.0,0.17948728404687092,0.22229812995075318,0.2844702051896343,0.43634901445372676,0.13035073032985328,0.6993860153588123,0.6698090506982601,0.6238998139555713,0.427780320508069,0.3604412584813037,0.389210829853616,0.1303507303298533,0.1145032687965923
ADE_val_00001389,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0.06784535990602632,0.3956013252730669,0.5447502894170733,0.0,0.0,0.0,0.08712298319681377,0.10547296360449386,0.13374192252525685,0.19226350706027212,0.06784535990602632,0.5602772076957518,0.5206436227241815,0.3261638307047622,0.15647370967941562,0.14622884737828518,0.22560652521370578,0.06784535990602635,0.4653330682069982
ADE_val_00000463,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0.15454415144634134,0.3911660078239158,0.5289890232988697,0.0,0.0,0.0,0.21840431761976808,0.2845174987913448,0.3588856204569925,0.44856398905894407,0.15454415144634134,0.6122667948287779,0.5509756299053784,0.48613546102029054,0.4473529502092608,0.4183518865416105,0.2856159418207071,0.15454415144634134,0.1272896926409623
ADE_val_00001549,joint_noise_ade20k_deeplabv3_semantic_cityscapes_dropout_pu_0_00,0.3147135513796877,0.5695802823155717,0.6198895225872667,0.7323927349188905,0.0,0.0,0.4442877969181874,0.5751557832656228,0.6442042617275774,0.7127945465057212,0.3147135513796877,0.7883279470288808,0.774086503629271,0.7610733988202355,0.7134951190687344,0.7043671738010661,0.4927238938606066,0.3147135513796877,0.0239363811786656
