Aggregator,AUROC,AUROC_std,Noise_Level
GMM_spatial,1.0,3.877842313165343e-17,1_00
GMM,0.9964960608580391,0.0035180113495613535,1_00
Equally-w. class avg.,0.892593218401335,0.012479907193637499,1_00
Imbalance-w. class avg.,0.8448594786345129,0.017054306492090714,1_00
Mean,0.7410055745025179,0.02071385763545018,1_00
GMM_pixel,0.7265518541514651,0.019684707116813405,1_00
Quantile 0.6,0.6356194145645852,0.022573033655482987,1_00
Quantile fg. ratio,0.6245039266483537,0.023297189242269506,1_00
Quantile 0.75,0.5969138518772369,0.02416428119053986,1_00
Patch 50,0.45690533054380594,0.024477365215760858,1_00
Quantile 0.9,0.4568924284290749,0.025646125098807995,1_00
Patch 10,0.43566092760764413,0.025064079658224533,1_00
Patch 20,0.41653736892449345,0.025517230780827075,1_00
Threshold 0.7,0.35514759736006807,0.023117053521292306,1_00
Threshold 0.3,0.3535948932614473,0.02420461271977075,1_00
Threshold 0.5,0.31665253511150665,0.021940663943295906,1_00
