Aggregator,AUROC,AUROC_std,Noise_Level
Quantile fg. ratio,0.8108608126181753,0.06829914346440549,1_00
Equally-w. class avg.,0.7266957980049493,0.08609833162287074,1_00
GMM,0.725693530566128,0.05182752001026007,1_00
Imbalance-w. class avg.,0.7233726512723129,0.08887164123037083,1_00
GMM_pixel,0.7203050890606418,0.054178355980873866,1_00
GMM_spatial,0.6832866940904889,0.06514282901979326,1_00
Patch 10,0.5985698236606607,0.07579805593993758,1_00
Quantile 0.9,0.5090853514855868,0.06479157639794728,1_00
Quantile 0.75,0.5082674767826416,0.06755835093655572,1_00
Quantile 0.6,0.506505833816322,0.07116197004008397,1_00
Patch 50,0.5064020378267892,0.07094452799893633,1_00
Patch 20,0.505023044990703,0.07158846147098713,1_00
Mean,0.5020841148274978,0.07091144621122522,1_00
Threshold 0.3,0.46465738695541103,0.06555247519907746,1_00
Threshold 0.5,0.40574530814681276,0.06440632671770902,1_00
Threshold 0.7,0.3300002205654157,0.0609367489250425,1_00
