uq_map_name,BCA,ICA,AVG,ATA 0.3,ATA 0.5,ATA 0.7,AQA 0.60,AQA 0.75,AQA 0.90,QFR,PLM 10,PLM 20,PLM 50,GMM-All,GMM-Int,GMM-Spa
0014_01,0.05518225379185399,0.05518225379185399,0.08440830508775546,0.8437934754984632,0.8529019609089157,0.8629636729006611,0.16881660117271838,0.28131495815637025,0.8364325638742501,0.9785107400291496,0.9568548131559935,0.7701678887124909,0.21608508027624052,0.7979661449765516,0.7978883440624165,0.7923777234091767
0026_00,0.02124601562493068,0.02124601562493068,0.032680765304600276,0.8345632593603111,0.8655115520523188,0.89512207063916,0.06536152994962167,0.10891810836418364,0.32645975867902777,0.9789972629219208,0.8462398053664967,0.334410510124641,0.0836627104504583,0.0001937714727363,0.0001693099936387,0.5610718130485536
0027_00,0.0025119986719917588,0.0025119986719917588,0.005905113649301299,0.7890697523118393,0.8763856099462568,0.9222170562250926,0.011810227147453733,0.019680477621726422,0.05897915765709216,0.1388634570917099,0.11475127393324054,0.06043520237656625,0.015117040172921032,4.853308571736896e-06,1.1018461646159471e-05,0.0087296523050311
0027_03,0.0005754357605327396,0.0005754357605327396,0.0011920039991698999,0.6405761622704588,0.6888380957059097,0.842147145510276,0.0023840034263335652,0.0039725700504426795,0.011880270352463826,0.12249553535761759,0.04797439493989967,0.012141434990416568,0.003051425905436818,1.7012372521525885e-06,1.5581906844998723e-06,0.0096569484102592
0027_05,0.007969956304832973,0.007969956304832973,0.01256025242711745,0.7117654717817808,0.8112516007720915,0.8616298642822823,0.025120490104224062,0.04186027133237095,0.12545394927160686,0.6426893688526529,0.3184496836977238,0.12857900139453668,0.0321537723840997,1.6279252955488913e-05,2.7411115460575968e-05,0.2012664837100895
0034_00,0.024014758561141835,0.024014758561141835,0.03250799015518533,0.7681287916771731,0.8170276201864595,0.8560951040285513,0.06501597981379792,0.10834229936836916,0.32465841216582453,0.9812279486774724,0.6601622275997735,0.29161521821194364,0.08322040669638243,0.1557275981343374,0.1554055620930465,0.7281707945996655
0038_00,0.00028566069425830517,0.00028566069425830517,0.002328915387152544,0.6638610868512568,0.7189742716512981,0.8012846266088881,0.004657827773414978,0.007761641371350106,0.0232475711679036,0.13566201689646018,0.09467314528876812,0.023809903221374912,0.005961930636050661,1.6752054811558906e-06,7.497010320352092e-07,0.0082451145436515
0038_03,0.0008156687538256771,0.0008156687538256771,0.0014199594034993168,0.6844357685720015,0.8007877515322802,0.8696071639190821,0.0028399113397779433,0.00473225487451485,0.014167401911450491,0.14377848731409265,0.057672131838498834,0.014501739602292127,0.0036349795259144153,9.002436800732654e-08,1.730230716127003e-07,0.0078419714016518
0054_02,0.0037137123747857277,0.0037137123747857277,0.008259640029050207,0.7509484836242526,0.8469037473547729,0.8977516921964139,0.016519279918921177,0.027527641243686164,0.08250881383637315,0.18077619401628175,0.1251628619278271,0.08453750736789457,0.0211445933307007,1.5394871790609285e-05,3.2631984787287144e-05,0.0121010299932116
0056_05,0.0008315939039063492,0.0008315939039063492,0.00198282584417977,0.7178236905187607,0.7441308026851359,0.9389010592413495,0.003965651537388756,0.006608334422012698,0.019806396937582526,0.20761036729566826,0.08107549050408142,0.020294197902410355,0.005075946930070975,6.544342728441883e-07,5.659027549927899e-07,0.0087455013150684
0056_09,0.003146007577535835,0.003146007577535835,0.006721885246619699,0.7143599589187212,0.8375724448335086,0.8853270596891969,0.013443770387573283,0.022402628581544307,0.06714920789656617,0.18220941093684878,0.14798146092344314,0.0688180281054195,0.017207987209963457,5.46577162250555e-06,1.0569834449529768e-05,0.1195664561835897
0057_04,0.0009232291379280551,0.0009232291379280551,0.0015315910241858219,0.8574039783000545,0.9250114967155803,0.9250114967155803,0.0030631820122267745,0.005104460057001835,0.015293910210074438,0.17358555152801752,0.06251778482492296,0.015671021514023623,0.0039208139288703855,1.0033615245335673e-07,8.052297385158533e-08,0.0083306396512508
0057_06,0.0009930040379707028,0.0009930040379707028,0.0014322144220906144,0.6136092548471384,0.7251118681074343,0.8472678572802783,0.00286442590915475,0.0047731574878356175,0.014294367680069312,0.1490516465395439,0.05828343564155988,0.014628722648447811,0.003666362928353452,3.809867638872743e-07,4.774776016686717e-07,0.0085988256943823
0062_01,0.0027640589464309868,0.0027640589464309868,0.005046582227183195,0.7705130285131401,0.8284872207716589,0.9049458419253595,0.010093162335754774,0.01681916050091488,0.05040760906410757,0.14643522553263918,0.09351436898370952,0.05164243602074448,0.012919211574659646,3.985625046475972e-06,8.983445085210653e-06,0.0092975138617687
0068_00,0.006487411172244399,0.006487411172244399,0.009002708292443398,0.6980470674301495,0.8243229051373285,0.8896560797656352,0.01800541632920881,0.030004126016750135,0.0899291800580948,0.24777889857961996,0.1425224188137248,0.0920281874907204,0.023046866169929216,1.932906489316053e-05,3.884378490097531e-05,0.0469870309368697
0070_00,0.003113407798998287,0.003113407798998287,0.006029677888559027,0.7570800379534555,0.8317360430145547,0.8948784164579077,0.012059355680190228,0.02009564322306281,0.06023555899883634,0.33088948662693934,0.21000781086701906,0.06172761593938178,0.015435949225863818,1.442851294694196e-06,1.4075707637121095e-06,0.0543027370671946
0071_00,0.0018897247362149885,0.0018897247362149885,0.0042194305407804635,0.5843669581454294,0.70887218149382,0.8443368347632988,0.008438860021216278,0.014062433346050686,0.042134892670104444,0.1536161614292792,0.08564765932191111,0.0431499016150239,0.01080170854765259,2.8068310904852083e-06,5.642714246058851e-06,0.0093885573192121
0079_00,0.0013567341637022714,0.0013567341637022714,0.0019024663502390411,0.8789249367177686,0.8789249367177686,0.9054102327038941,0.0038049325705104475,0.0063405088061495776,0.019002675008380862,0.38645395911631086,0.07766913773500195,0.019466302680968134,0.00487028253279645,7.806094104783809e-07,7.205842292832489e-07,0.0081509972877965
0079_01,0.0003672013700658119,0.0003672013700658119,0.0011735195648557056,0.5886919847037083,0.6660226902113168,0.7331566661703137,0.0023470389192285232,0.003911023406900641,0.011713028915424086,0.12245395790795624,0.047834981918757305,0.012000060796114159,0.00300412693916702,9.129920465583106e-07,8.579739311011638e-07,0.0075833969914512
0079_05,0.0022272424450265893,0.0022272424450265893,0.004051524346847728,0.6590320959793389,0.7928016081524777,0.8963079219199918,0.008103048352671982,0.013502849048542903,0.04046864360198651,0.1518683280568876,0.09026705826545381,0.04143613937916222,0.010371684076014734,2.2690644077692065e-06,4.076810445705432e-06,0.0110161061374465
0087_00,0.031227296873418315,0.031227296873418315,0.0319332747761826,0.7323719032454457,0.7486995732263818,0.7658867236493401,0.06386654945867859,0.10642689889335552,0.3189513825191262,0.9951224601142655,0.7160900319157887,0.3260578266014839,0.0817490033062356,0.0002844367761113,0.0003219851281255,0.7035060344007643
0097_00,0.02226062024343329,0.02226062024343329,0.02226062024343329,0.7069456866731849,0.7221014865559438,0.737895842455234,0.044521238637775185,0.07418993297971735,0.2223592430087691,0.9400996493308751,0.5212261875755999,0.21707399860263485,0.05698712179644464,0.0107863892078444,0.0108053736056244,0.6307644078805924
