uq_map_name,BCA,ICA,AVG,ATA 0.3,ATA 0.5,ATA 0.7,AQA 0.60,AQA 0.75,AQA 0.90,QFR,PLM 10,PLM 20,PLM 50,GMM-All,GMM-Int,GMM-Spa,is_ood
A04,0.9621778726577759,0.9621778726577759,0.9621778726577759,0.9621778726577759,0.9621778726577759,0.9621778726577759,0.9621778726577759,0.9621778726577759,0.9621778726577759,0.9621778726577759,0.9621778726577759,0.9621778726577759,0.9621778726577759,0.9621778726577759,0.9621778726577759,0.9621778726577759,0
B02,0.9127259850502014,0.9127259850502014,0.9127259850502014,0.9127259850502014,0.9127259850502014,0.9127259850502014,0.9127259850502014,0.9127259850502014,0.9127259850502014,0.9127259850502014,0.9127259850502014,0.9127259850502014,0.9127259850502014,0.9127259850502014,0.9127259850502014,0.9127259850502014,0
A11,0.8883892893791199,0.8883892893791199,0.8883892893791199,0.8883892893791199,0.8883892893791199,0.8883892893791199,0.8883892893791199,0.8883892893791199,0.8883892893791199,0.8883892893791199,0.8883892893791199,0.8883892893791199,0.8883892893791199,0.8883892893791199,0.8883892893791199,0.8883892893791199,0
A07,0.9125093817710876,0.9125093817710876,0.9125093817710876,0.9125093817710876,0.9125093817710876,0.9125093817710876,0.9125093817710876,0.9125093817710876,0.9125093817710876,0.9125093817710876,0.9125093817710876,0.9125093817710876,0.9125093817710876,0.9125093817710876,0.9125093817710876,0.9125093817710876,0
B05,0.9506753087043762,0.9506753087043762,0.9506753087043762,0.9506753087043762,0.9506753087043762,0.9506753087043762,0.9506753087043762,0.9506753087043762,0.9506753087043762,0.9506753087043762,0.9506753087043762,0.9506753087043762,0.9506753087043762,0.9506753087043762,0.9506753087043762,0.9506753087043762,0
A12,0.7507824301719666,0.7507824301719666,0.7507824301719666,0.7507824301719666,0.7507824301719666,0.7507824301719666,0.7507824301719666,0.7507824301719666,0.7507824301719666,0.7507824301719666,0.7507824301719666,0.7507824301719666,0.7507824301719666,0.7507824301719666,0.7507824301719666,0.7507824301719666,0
A06,0.9463640451431274,0.9463640451431274,0.9463640451431274,0.9463640451431274,0.9463640451431274,0.9463640451431274,0.9463640451431274,0.9463640451431274,0.9463640451431274,0.9463640451431274,0.9463640451431274,0.9463640451431274,0.9463640451431274,0.9463640451431274,0.9463640451431274,0.9463640451431274,0
A19,0.8339017033576965,0.8339017033576965,0.8339017033576965,0.8339017033576965,0.8339017033576965,0.8339017033576965,0.8339017033576965,0.8339017033576965,0.8339017033576965,0.8339017033576965,0.8339017033576965,0.8339017033576965,0.8339017033576965,0.8339017033576965,0.8339017033576965,0.8339017033576965,0
A18,0.8434572219848633,0.8434572219848633,0.8434572219848633,0.8434572219848633,0.8434572219848633,0.8434572219848633,0.8434572219848633,0.8434572219848633,0.8434572219848633,0.8434572219848633,0.8434572219848633,0.8434572219848633,0.8434572219848633,0.8434572219848633,0.8434572219848633,0.8434572219848633,0
B10,0.9203888177871704,0.9203888177871704,0.9203888177871704,0.9203888177871704,0.9203888177871704,0.9203888177871704,0.9203888177871704,0.9203888177871704,0.9203888177871704,0.9203888177871704,0.9203888177871704,0.9203888177871704,0.9203888177871704,0.9203888177871704,0.9203888177871704,0.9203888177871704,0
A17,0.810533881187439,0.810533881187439,0.810533881187439,0.810533881187439,0.810533881187439,0.810533881187439,0.810533881187439,0.810533881187439,0.810533881187439,0.810533881187439,0.810533881187439,0.810533881187439,0.810533881187439,0.810533881187439,0.810533881187439,0.810533881187439,0
B12,0.8281062841415405,0.8281062841415405,0.8281062841415405,0.8281062841415405,0.8281062841415405,0.8281062841415405,0.8281062841415405,0.8281062841415405,0.8281062841415405,0.8281062841415405,0.8281062841415405,0.8281062841415405,0.8281062841415405,0.8281062841415405,0.8281062841415405,0.8281062841415405,0
B06,0.8819016218185425,0.8819016218185425,0.8819016218185425,0.8819016218185425,0.8819016218185425,0.8819016218185425,0.8819016218185425,0.8819016218185425,0.8819016218185425,0.8819016218185425,0.8819016218185425,0.8819016218185425,0.8819016218185425,0.8819016218185425,0.8819016218185425,0.8819016218185425,0
A01,0.9015849232673645,0.9015849232673645,0.9015849232673645,0.9015849232673645,0.9015849232673645,0.9015849232673645,0.9015849232673645,0.9015849232673645,0.9015849232673645,0.9015849232673645,0.9015849232673645,0.9015849232673645,0.9015849232673645,0.9015849232673645,0.9015849232673645,0.9015849232673645,0
B03,0.9653744697570801,0.9653744697570801,0.9653744697570801,0.9653744697570801,0.9653744697570801,0.9653744697570801,0.9653744697570801,0.9653744697570801,0.9653744697570801,0.9653744697570801,0.9653744697570801,0.9653744697570801,0.9653744697570801,0.9653744697570801,0.9653744697570801,0.9653744697570801,0
A09,0.9631765484809875,0.9631765484809875,0.9631765484809875,0.9631765484809875,0.9631765484809875,0.9631765484809875,0.9631765484809875,0.9631765484809875,0.9631765484809875,0.9631765484809875,0.9631765484809875,0.9631765484809875,0.9631765484809875,0.9631765484809875,0.9631765484809875,0.9631765484809875,0
B20,0.8669477701187134,0.8669477701187134,0.8669477701187134,0.8669477701187134,0.8669477701187134,0.8669477701187134,0.8669477701187134,0.8669477701187134,0.8669477701187134,0.8669477701187134,0.8669477701187134,0.8669477701187134,0.8669477701187134,0.8669477701187134,0.8669477701187134,0.8669477701187134,0
A16,0.8266322612762451,0.8266322612762451,0.8266322612762451,0.8266322612762451,0.8266322612762451,0.8266322612762451,0.8266322612762451,0.8266322612762451,0.8266322612762451,0.8266322612762451,0.8266322612762451,0.8266322612762451,0.8266322612762451,0.8266322612762451,0.8266322612762451,0.8266322612762451,0
