uq_map_name,BCA,ICA,AVG,ATA 0.3,ATA 0.5,ATA 0.7,AQA 0.60,AQA 0.75,AQA 0.90,QFR,PLM 10,PLM 20,PLM 50,GMM-All,GMM-Int,GMM-Spa
0014_01,0.01807704131945055,0.01807704131945055,0.01807704131945055,0.6696317904661537,0.7499678474474027,0.7952602685709506,0.0361540826389011,0.060246998571578066,0.18059405155544822,0.9824882132890316,0.6209175168907249,0.18452749563699886,0.04627722514204386,1.6891077578468163e-05,8.548532884579723e-06,0.2265158340266915
0026_00,0.008475793545107965,0.008475793545107965,0.01783781456685052,0.6317756374979232,0.7840188352987527,0.8815994724326615,0.03567562913370104,0.059449705830610024,0.17820256611260235,0.3690130402050333,0.3184237559906957,0.17877561611232123,0.045664804558668386,2.5343239503720904e-05,1.5436738012325242e-05,0.0244541153621762
0027_00,0.005863821625266395,0.005863821625266395,0.010496196027264593,0.600225687704146,0.830866867192374,0.8905110017843209,0.020992392054529185,0.034981626466782566,0.10485955807978346,0.28486220873561197,0.17557902216145382,0.10747399528414858,0.026870261728754685,5.890780033893282e-06,3.2489823815353846e-06,0.0283282750794541
0027_03,0.0007412472371983156,0.0007412472371983156,0.002497610337991265,0.5024633236619848,0.782729108838528,0.8939792911591967,0.004995220675982532,0.008324012973484316,0.024951736359443102,0.25857877454264183,0.09965954559302427,0.025058939164541716,0.006393882212927049,3.202329496511252e-07,1.579404347861644e-07,0.0258628474886629
0027_05,0.006563627113119655,0.006563627113119655,0.012467816980919987,0.659731665221091,0.7926728793382867,0.8981151401842082,0.024935633961839967,0.04155262681354618,0.12455653147374571,0.4713239853167087,0.267257611368924,0.12762153838697593,0.031917603287395624,5.81262114857899e-06,2.890500791779105e-06,0.0222877803926184
0034_00,0.01621100449215874,0.01621100449215874,0.05646017462264924,0.7498087621715965,0.8075114129556966,0.8674107069547825,0.1129203492452985,0.18816995545514345,0.5624285598803926,0.7871859580976106,0.8176391804964359,0.5143159489858795,0.14453803868659365,0.0031618238879626,0.0025802249011383,0.0586294800451038
0038_00,0.0017541086376723347,0.0017541086376723347,0.004086411709274844,0.6557137022446018,0.838311545435071,0.9184001492057039,0.008172823418549687,0.013619155704792319,0.04082424965938703,0.2614188750985422,0.1626386166431655,0.040816141057041594,0.01033263837689027,1.4576019650237928e-05,1.1009856800429166e-05,0.0245149216342544
0038_03,0.001210306121849931,0.001210306121849931,0.002763356842536291,0.5949111439320162,0.7384812060453636,0.9298454202493251,0.005526713685072581,0.009209690502057482,0.027606608842560044,0.26180885025516637,0.10899230810389735,0.027267882749725126,0.007074191814077467,4.997330091695856e-07,4.856545380328224e-07,0.0145831921936953
0054_02,0.007259006447462939,0.007259006447462939,0.015428479773418003,0.6281137125493289,0.7881574572730283,0.8805446542751124,0.030856959546836007,0.05141989678756724,0.15413323093165368,0.3211623662961553,0.24726166804511304,0.1563311661798556,0.03936832938631235,2.799933913767664e-05,1.893596984305492e-05,0.0192322848849385
0056_05,0.000992380199343386,0.000992380199343386,0.0032236722372245953,0.6594228192118502,0.8228355647761368,0.8740570903227354,0.006447344474449192,0.010743825454574406,0.03220527191134582,0.3299643899653793,0.13199962213055463,0.03301030838844645,0.0082526006753603,6.126490048250341e-07,1.6133270501899738e-07,0.0312108051400772
0056_09,0.00479646259674549,0.00479646259674549,0.010353576194728334,0.5627523468437253,0.7873459579177663,0.8786343058384446,0.020707152389456668,0.03450630438861453,0.10343474851790976,0.29011660532141276,0.18221029682906156,0.10549614211613367,0.026505153930299043,4.773514602972304e-06,2.7183030268644764e-06,0.0197120584496352
0057_04,0.001446779974206146,0.001446779974206146,0.0027426572598362345,0.7134681905753399,0.8089085901607601,0.8815382130976289,0.005485314519672471,0.009140703121472105,0.027399814966558102,0.32855359383914984,0.11231374874444501,0.028084794827055524,0.007021201226358544,1.079750618948189e-07,6.390612230180735e-08,0.0179204221715616
0057_06,0.0016469812430570307,0.0016469812430570307,0.0034603052996758617,0.6286910138282387,0.8336388119893979,0.9273265623447884,0.006920610599351724,0.011532473968651206,0.03456929390900586,0.35122805068844515,0.13684529833308004,0.03440357643992121,0.008858307894997239,5.532829261901777e-07,4.154614936736469e-07,0.0204913970119477
0062_01,0.00341102784771306,0.00341102784771306,0.007067418942054111,0.6189311534383287,0.8301501046435513,0.8792869153053046,0.014134837884108221,0.023554229443981806,0.07060523898978727,0.21747414683653468,0.155883695044888,0.07185486024630335,0.018092574163465554,2.5106594678552326e-06,7.878729387719073e-07,0.0456654780530672
0068_00,0.009269959665035736,0.009269959665035736,0.016008281368331222,0.6637893259257184,0.8037789015404574,0.9022004153903325,0.03201656273666245,0.053352254259304066,0.15992140955908515,0.3917177128505564,0.2523382688109937,0.16228551291167614,0.040890112526691606,2.222929813110156e-05,1.426829558030826e-05,0.0249239838208504
0070_00,0.0027626042088666467,0.0027626042088666467,0.006119939317088251,0.5984782292859151,0.7513711316974677,0.9134454169365902,0.012239878634176502,0.02039647798437223,0.06113968644573626,0.33056452949744286,0.20625107153232197,0.06214043528532761,0.015667012322123343,4.639924963105616e-07,2.879562310068915e-07,0.0312048344131273
0071_00,0.0021875156678687353,0.0021875156678687353,0.007354504193626004,0.5953424325033818,0.82144612410576,0.9010724719519446,0.014709008387252006,0.024511024554183972,0.07347329059310032,0.2727390533355217,0.17174963115880304,0.07479481972013943,0.01882753071692276,1.769136190915863e-06,8.92807876998716e-07,0.0232196227753611
0079_00,0.000818012968839322,0.000818012968839322,0.0022722528696854176,0.7474805895122908,0.8468300826084509,0.8940759249348568,0.004544505739370834,0.0075729436568197465,0.022700360376163492,0.3466787351581594,0.08465075737829325,0.021702670407817176,0.005688387746801504,1.6612709468924235e-05,1.1578684597978284e-05,0.0607818708840321
0079_01,0.0013042825810754674,0.0013042825810754674,0.0028803084115452634,0.7441320168532523,0.846773453021088,0.9240939656902554,0.005760616823090527,0.009599465625459234,0.0287749835420748,0.31655115889002283,0.11574486865191902,0.02897781914712313,0.007373589421887436,1.9899302360249109e-07,1.0941410357628689e-07,0.0196673022275109
0079_05,0.0027248465901737774,0.0027248465901737774,0.005836720787096782,0.5862057246774539,0.8620185400100363,0.9634373080919938,0.011673441574193564,0.01945256984861548,0.058310264218121965,0.21831971877608908,0.12843194110755954,0.05976743405830729,0.014941977787491323,9.634105516403895e-07,5.781521037264507e-07,0.0142427411141613
0087_00,0.029258747359493457,0.029258747359493457,0.0477092685558919,0.7724155033404315,0.8501423706269993,0.8945994452302806,0.09541853711178382,0.15900501546373738,0.47640405499674526,0.9591960461105643,0.8553589374510124,0.4800752842866985,0.1221357275004987,0.0002411398827387,0.0001229957971941,0.1764610783910142
0097_00,0.054191906474686885,0.054191906474686885,0.09697246843675175,0.8279213128674221,0.8746981817583361,0.9119033421153386,0.1939449368735035,0.3231889590861962,0.8832802892849414,0.9682825546002423,0.8951800300286261,0.7734095356565451,0.24824951103569606,1.0,1.0,0.565077282635162
0103_00,0.009509400180612387,0.009509400180612387,0.022961089910748123,0.6322476220348768,0.774880619553511,0.8720582353897982,0.045922179821496246,0.076524511207831,0.22938688618750214,0.5227844867331034,0.46718401496860734,0.23446930970021856,0.05878038988222731,2.409464251514493e-05,1.265415350158133e-05,0.0663148748890424
0103_02,0.004166303996735262,0.004166303996735262,0.008525284231872446,0.6967542836469727,0.8250356847583216,0.9019990273369171,0.01705056846374489,0.028412989596216055,0.08516966880133849,0.382468803328785,0.22614382837922328,0.08729568343890898,0.021824417074430426,1.381174212426811e-06,7.386302498403839e-07,0.0222297116247919
0113_01,0.004321943314706666,0.004321943314706666,0.008829157002680561,0.6291626680073946,0.7904614855900245,0.8331069914996475,0.017658314005361116,0.029425733997542374,0.0882054317555835,0.3900171968148811,0.22535905246646123,0.09036913511566873,0.022602641922528584,2.4924499532070554e-06,1.1045654454257477e-06,0.0264244920736829
0115_00,0.006246048645226231,0.006246048645226231,0.015436675831728062,0.6703122358717875,0.8295903798437985,0.8990738758981557,0.030873351663456124,0.0514472125360115,0.15421615637690453,0.36834884807001755,0.26583195419366495,0.15798656822188664,0.0395178900245473,1.1978911219485517e-05,6.96354906943138e-06,0.0348800112278044
0117_00,0.016400168453063312,0.016400168453063312,0.02066527404416452,0.7431547577726004,0.8341598395277536,0.916374555871286,0.04133054808832905,0.06887303700968095,0.20644770010624142,0.9372940858178002,0.534460204966727,0.1893154961205642,0.052903005165615816,0.000341512495971,0.0002543125396815,0.44701173517035
0117_01,0.009935421383916607,0.009935421383916607,0.020114503930929395,0.6270315704886026,0.8168305500509843,0.8951314430666121,0.04022900786185879,0.06703743539551407,0.20075779022191925,0.2544814046563424,0.2598580936299411,0.16858735190319613,0.05149312991390245,0.0008837069405988,0.0007267129642367,0.0326968667752724
0117_02,0.006137385648269998,0.006137385648269998,0.01172790823780271,0.610187317149427,0.7781542778849024,0.8682680393211063,0.023455816475605417,0.03908666569734735,0.11716466368760066,0.334490548877813,0.19343733599952562,0.12004308304467314,0.030023444958260693,7.458111869034448e-06,4.106703810253919e-06,0.021137578023803
0117_03,0.0043757602568394805,0.0043757602568394805,0.006745971617677633,0.6718874114693532,0.7668724826410327,0.8986629072305454,0.01349194323535527,0.02248291273068152,0.06739390180560517,0.5083905275400231,0.26537163650823614,0.06907668412114591,0.017269621205128694,4.722169261447388e-07,3.774509957937033e-07,0.0301546859075445
0124_01,0.0022469954149171955,0.0022469954149171955,0.004616936105634951,0.6134632178049154,0.8214432044955202,0.9041766355457854,0.009233872211269903,0.015387282578259364,0.04612431763490651,0.31871486180513936,0.15935398512680704,0.04727473546796075,0.011819356157487644,1.8033488551726797e-07,2.549350422205681e-08,0.0226369795752645
0126_00,0.005945938862646522,0.005945938862646522,0.018412649704898216,0.703858705694934,0.7932398886188218,0.9000477641115107,0.03682529940979643,0.06136551114016526,0.18394686140232333,0.5634740181508672,0.42470290615266565,0.18854272867119376,0.047136379991195174,1.308833257324979e-05,7.146341153641644e-06,0.049277847664931
0126_01,0.0009878841316266324,0.0009878841316266324,0.002998013223023892,0.6169813679484689,0.8871557791630019,0.9204271665868722,0.005996026446047784,0.009991751148499482,0.0299508833203882,0.2724647149249887,0.12240392060783853,0.03069959023609235,0.007674910018507463,6.838710963835598e-07,2.3988774501368264e-07,0.0224883724022421
0147_01,0.0029582876944906234,0.0029582876944906234,0.005781985817150105,0.6401645608825849,0.8103676074480051,0.8578343925239076,0.01156397163430021,0.019270149639582446,0.057763448551854196,0.4061413250383039,0.22287472099000394,0.05920024207415109,0.014801883421843954,4.952622389741582e-07,2.145162692710268e-07,0.0250811504654884
0147_04,0.0029905446442540593,0.0029905446442540593,0.0077396818614802595,0.600782120521532,0.8404795390255021,0.8997814079979459,0.01547936372296052,0.025794741175446004,0.07732130891328928,0.2772863143996618,0.18050985129062025,0.07924735861101766,0.01981358533520978,1.995616791987245e-06,9.597894931359685e-07,0.0161871712459276
0151_01,0.006014957158849482,0.006014957158849482,0.012307291841587787,0.6326637417946014,0.8293755441986429,0.9214863523965259,0.024614583683175574,0.04101763009206148,0.12295174987873773,0.30872927904368297,0.20645765317521,0.12427171292829386,0.03150666691362909,9.541795446450457e-06,5.393570220844192e-06,0.0334549590474521
0151_02,0.006231748427345043,0.006231748427345043,0.012529261810633751,0.6649706527149525,0.819638497945786,0.8923205930174406,0.025058523621267495,0.04175740958206334,0.1251703224860786,0.3069094212330935,0.22402327429296912,0.1273948907130576,0.03207488489498879,8.039850310080277e-06,4.2847408911669e-06,0.0212484670585562
0161_01,0.003260935115737017,0.003260935115737017,0.005325815456088988,0.6280864833449459,0.762860896373412,0.8365699267401634,0.010651630912177978,0.017749829217364115,0.05320619510192052,0.3002122910412584,0.15758484181096688,0.05447770135947016,0.013634083941735537,4.93061477614473e-07,1.711741505332305e-07,0.0196314920233397
0161_02,0.00366984776392402,0.00366984776392402,0.005228067319839067,0.7419214287551507,0.8055988630005769,0.8494961058144151,0.010456134639678132,0.017424055119658922,0.052229667661657576,0.41343275581119965,0.20665272484237715,0.052506387274235164,0.01325526396330553,1.4845403743603343e-05,1.1431529160705743e-05,0.0199566495893889
0164_00,0.008907394547754669,0.008907394547754669,0.008907394547754669,0.6018419586018514,0.6642243055353155,0.7922424360459372,0.017814789095509338,0.02968648337477878,0.08898704406590828,0.9328698426539044,0.3505462093262004,0.09121142175990757,0.022802929021876514,7.52940198112258e-06,5.634960854243374e-06,0.1068169290972018
0172_00,0.009498705216139717,0.009498705216139717,0.01757615527564345,0.6521576115345249,0.8336167849205192,0.9204698182842861,0.0351523105512869,0.058577650129402414,0.17555194450152015,0.29790657315618496,0.2563633661998217,0.1585084163907477,0.044994957479203526,0.0002973579515551,0.000240843461779,0.0230162073770096
0172_01,0.0019265419142298638,0.0019265419142298638,0.004375816080729504,0.5573111582854774,0.7480930286618818,0.8143304422495242,0.008751632161459008,0.01458367995660541,0.04371546991050109,0.2925381551570384,0.17123997334798952,0.044789915903053465,0.011202088965366673,4.888380977795233e-07,2.0985879005305574e-07,0.028771894097922
0172_02,0.0031826938289575067,0.0031826938289575067,0.0051593499780308505,0.678194655604755,0.8444763997081803,0.9025015847203093,0.0103186999560617,0.017195034589108513,0.051543164657173866,0.48449280463480926,0.16717091300755865,0.05231255820958859,0.013207923067287741,3.569551407148207e-07,1.6581133803352565e-07,0.0194414228380085
0172_03,0.0008685613479631328,0.0008685613479631328,0.00326912520264117,0.6370186777537558,0.9448682982826736,0.9448682982826736,0.006538250405282339,0.010895310683497339,0.03265935812198403,0.28448585895140666,0.13175416754816607,0.03296119098678748,0.008368939597216152,8.156349521206526e-07,6.422311007249318e-07,0.0152362631519923
0180_00,0.012504440804036277,0.012504440804036277,0.022279992563615403,0.7067708346782613,0.8035752463374648,0.8990588581273928,0.044559985127230806,0.07425455617621537,0.22258255911023098,0.87778219004926,0.6053942805659337,0.22811443592770936,0.05703677925629891,2.1800415289229933e-05,1.001168682810883e-05,0.1052472627972165
0184_01,0.007040604063431439,0.007040604063431439,0.015058657624085998,0.6613763485088483,0.8078983718869849,0.8890859587267919,0.030117315248171996,0.05018735689849979,0.15043966227615585,0.4348629733464262,0.2886335324183791,0.15298414469397362,0.03854461881618877,1.1073997624714957e-05,6.1715599020424e-06,0.0227765153161927
