uq_map_name,is_ood,BCA,ICA,AVG,ATA 0.3,ATA 0.5,ATA 0.7,AQA 0.60,AQA 0.75,AQA 0.90,QFR,PLM 10,PLM 20,PLM 50,GMM-All,GMM-Int,GMM-Spa
202,0,0.5804511278195489,0.5804511278195489,0.5804511278195489,0.5804511278195489,0.5804511278195489,0.5804511278195489,0.5804511278195489,0.5804511278195489,0.5804511278195489,0.5804511278195489,0.5804511278195489,0.5804511278195489,0.5804511278195489,0.5804511278195489,0.5804511278195489,0.5804511278195489
202,1,0.39263803680981596,0.39263803680981596,0.39263803680981596,0.39263803680981596,0.39263803680981596,0.39263803680981596,0.39263803680981596,0.39263803680981596,0.39263803680981596,0.39263803680981596,0.39263803680981596,0.39263803680981596,0.39263803680981596,0.39263803680981596,0.39263803680981596,0.39263803680981596
204,0,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164
204,1,0.407119021134594,0.407119021134594,0.407119021134594,0.407119021134594,0.407119021134594,0.407119021134594,0.407119021134594,0.407119021134594,0.407119021134594,0.407119021134594,0.407119021134594,0.407119021134594,0.407119021134594,0.407119021134594,0.407119021134594,0.407119021134594
205,0,0.5636856368563685,0.5636856368563685,0.5636856368563685,0.5636856368563685,0.5636856368563685,0.5636856368563685,0.5636856368563685,0.5636856368563685,0.5636856368563685,0.5636856368563685,0.5636856368563685,0.5636856368563685,0.5636856368563685,0.5636856368563685,0.5636856368563685,0.5636856368563685
205,1,0.4446742502585315,0.4446742502585315,0.4446742502585315,0.4446742502585315,0.4446742502585315,0.4446742502585315,0.4446742502585315,0.4446742502585315,0.4446742502585315,0.4446742502585315,0.4446742502585315,0.4446742502585315,0.4446742502585315,0.4446742502585315,0.4446742502585315,0.4446742502585315
206,0,0.5542483660130719,0.5542483660130719,0.5542483660130719,0.5542483660130719,0.5542483660130719,0.5542483660130719,0.5542483660130719,0.5542483660130719,0.5542483660130719,0.5542483660130719,0.5542483660130719,0.5542483660130719,0.5542483660130719,0.5542483660130719,0.5542483660130719,0.5542483660130719
206,1,0.41148325358851673,0.41148325358851673,0.41148325358851673,0.41148325358851673,0.41148325358851673,0.41148325358851673,0.41148325358851673,0.41148325358851673,0.41148325358851673,0.41148325358851673,0.41148325358851673,0.41148325358851673,0.41148325358851673,0.41148325358851673,0.41148325358851673,0.41148325358851673
207,1,0.30528375733855184,0.30528375733855184,0.30528375733855184,0.30528375733855184,0.30528375733855184,0.30528375733855184,0.30528375733855184,0.30528375733855184,0.30528375733855184,0.30528375733855184,0.30528375733855184,0.30528375733855184,0.30528375733855184,0.30528375733855184,0.30528375733855184,0.30528375733855184
210,0,0.5721153846153846,0.5721153846153846,0.5721153846153846,0.5721153846153846,0.5721153846153846,0.5721153846153846,0.5721153846153846,0.5721153846153846,0.5721153846153846,0.5721153846153846,0.5721153846153846,0.5721153846153846,0.5721153846153846,0.5721153846153846,0.5721153846153846,0.5721153846153846
210,1,0.4576116681859617,0.4576116681859617,0.4576116681859617,0.4576116681859617,0.4576116681859617,0.4576116681859617,0.4576116681859617,0.4576116681859617,0.4576116681859617,0.4576116681859617,0.4576116681859617,0.4576116681859617,0.4576116681859617,0.4576116681859617,0.4576116681859617,0.4576116681859617
211,0,0.6318471337579618,0.6318471337579618,0.6318471337579618,0.6318471337579618,0.6318471337579618,0.6318471337579618,0.6318471337579618,0.6318471337579618,0.6318471337579618,0.6318471337579618,0.6318471337579618,0.6318471337579618,0.6318471337579618,0.6318471337579618,0.6318471337579618,0.6318471337579618
