uq_map_name,BCA,ICA,AVG,ATA 0.3,ATA 0.5,ATA 0.7,AQA 0.60,AQA 0.75,AQA 0.90,QFR,PLM 10,PLM 20,PLM 50,GMM-All,GMM-Int,GMM-Spa
0014_01,0.020801344906711327,0.020801344906711327,0.033458540774313546,0.6706921411014501,0.8258335440858113,0.8866353327175425,0.0669170657189302,0.11146420170524181,0.3133339855720577,0.2905233100385575,0.47811515968723,0.20482756110509837,0.08563836433204712,0.9999999999997234,0.9999999999997036,0.0164537133153522
0014_03,0.0017879309307596179,0.0017879309307596179,0.0037903693947110876,0.756232593134217,0.8835693506793242,0.905890485657296,0.007580737601859942,0.012632472681964643,0.03780517642462637,0.11538239683025002,0.07182808704485537,0.03848228873879048,0.009703296959006298,0.0005948156088989,0.0003531216634891,0.0112190020265572
0022_00,0.0006892336013457922,0.0006892336013457922,0.0020499075863301894,0.8749669064929805,0.94737315188564,0.94737315188564,0.004099810309316664,0.006831611290268984,0.020441971943629664,0.1370309336978079,0.08164842882944104,0.020911117085469604,0.005247295613648291,0.001246767603445,0.0011017957675837,0.0079259646505152
0022_09,0.002983085245413232,0.002983085245413232,0.0043837800149868,0.6970838593181592,0.8164915773427192,0.9023240728272214,0.00876755269241255,0.014609732300448004,0.04357792404011991,0.1837598826782728,0.09994284609725196,0.04401581253713954,0.011222123831509546,0.0003607865040873,0.0001453494413305,0.007612366311644
0023_05,0.00022571551322088452,0.00022571551322088452,0.0008353855775244188,0.7363833186744764,0.8456663548354438,0.8456663548354438,0.001670768937402749,0.002784130437206432,0.008344542062763615,0.09672468290664021,0.033953002561209145,0.00855167320472454,0.0021385228286199213,0.0005308495683519,0.0005068653367385,0.0030897492115228
0023_06,0.001101969887652867,0.001101969887652867,0.0017446086896294017,0.716163249141746,0.8078353659311646,0.9150707217803042,0.003489214554978789,0.005814315932500891,0.017417139257510234,0.15692405630258405,0.07069571088149035,0.0178385475609258,0.004466035024253075,4.278734900397897e-05,4.5033871926110015e-05,0.004487804093075
0023_08,0.0008558952726350524,0.0008558952726350524,0.0018750714651503057,0.8537161604598409,0.8537161604598409,0.8928786185729749,0.003750140796951092,0.006249191047104771,0.018730555568304264,0.15314694792377018,0.07660718289529321,0.019194889280186096,0.004800047132750768,0.0012903187771247,0.0002145215249321,0.0080200776427826
0025_00,0.004096168110200759,0.004096168110200759,0.008636337276509054,0.6851554877265508,0.8279560958051123,0.9130031076555347,0.01727266537808929,0.02878247119474771,0.08578363037786095,0.18340191918686743,0.13761432226598785,0.08731435397683253,0.022108720226347703,0.0020963228121624,0.0022522967558748,0.0120326042759174
0038_03,0.0004222531748045305,0.0004222531748045305,0.0011322815710535891,0.833309537523883,0.833309537523883,0.8801395606065152,0.0022645547039100407,0.0037735290684191513,0.011306856167715443,0.1148929225067787,0.046173709718986204,0.011572748707471514,0.002897871958615278,0.0004080461694964,0.0002086697715495,0.0058403871902021
0042_02,0.002943395641661411,0.002943395641661411,0.004770916772787857,0.7094816983735037,0.8020857456830863,0.9092975099827115,0.00954183043866184,0.015900383181504447,0.04765728707173473,0.2132082415920627,0.11931889867743245,0.048845545549800785,0.012213309528241772,0.0003951885071556,0.0001505618872036,0.0074581730155268
