uq_map_name,BCA,ICA,AVG,ATA 0.3,ATA 0.5,ATA 0.7,AQA 0.60,AQA 0.75,AQA 0.90,QFR,PLM 10,PLM 20,PLM 50,GMM-All,GMM-Int,GMM-Spa,is_ood
0603_00,0.9452054500579834,0.9452054500579834,0.9452054500579834,0.9452054500579834,0.9452054500579834,0.9452054500579834,0.9452054500579834,0.9452054500579834,0.9452054500579834,0.9452054500579834,0.9452054500579834,0.9452054500579834,0.9452054500579834,0.9452054500579834,0.9452054500579834,0.9452054500579834,0
0644_01,0.9377334713935852,0.9377334713935852,0.9377334713935852,0.9377334713935852,0.9377334713935852,0.9377334713935852,0.9377334713935852,0.9377334713935852,0.9377334713935852,0.9377334713935852,0.9377334713935852,0.9377334713935852,0.9377334713935852,0.9377334713935852,0.9377334713935852,0.9377334713935852,0
0453_01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0299_02,0.8348624110221863,0.8348624110221863,0.8348624110221863,0.8348624110221863,0.8348624110221863,0.8348624110221863,0.8348624110221863,0.8348624110221863,0.8348624110221863,0.8348624110221863,0.8348624110221863,0.8348624110221863,0.8348624110221863,0.8348624110221863,0.8348624110221863,0.8348624110221863,0
0574_01,0.8857142925262451,0.8857142925262451,0.8857142925262451,0.8857142925262451,0.8857142925262451,0.8857142925262451,0.8857142925262451,0.8857142925262451,0.8857142925262451,0.8857142925262451,0.8857142925262451,0.8857142925262451,0.8857142925262451,0.8857142925262451,0.8857142925262451,0.8857142925262451,0
0115_00,0.9250493049621582,0.9250493049621582,0.9250493049621582,0.9250493049621582,0.9250493049621582,0.9250493049621582,0.9250493049621582,0.9250493049621582,0.9250493049621582,0.9250493049621582,0.9250493049621582,0.9250493049621582,0.9250493049621582,0.9250493049621582,0.9250493049621582,0.9250493049621582,0
0623_00,0.9277108311653137,0.9277108311653137,0.9277108311653137,0.9277108311653137,0.9277108311653137,0.9277108311653137,0.9277108311653137,0.9277108311653137,0.9277108311653137,0.9277108311653137,0.9277108311653137,0.9277108311653137,0.9277108311653137,0.9277108311653137,0.9277108311653137,0.9277108311653137,0
0475_01,0.8417799472808838,0.8417799472808838,0.8417799472808838,0.8417799472808838,0.8417799472808838,0.8417799472808838,0.8417799472808838,0.8417799472808838,0.8417799472808838,0.8417799472808838,0.8417799472808838,0.8417799472808838,0.8417799472808838,0.8417799472808838,0.8417799472808838,0.8417799472808838,0
0622_02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0644_02,0.9510603547096252,0.9510603547096252,0.9510603547096252,0.9510603547096252,0.9510603547096252,0.9510603547096252,0.9510603547096252,0.9510603547096252,0.9510603547096252,0.9510603547096252,0.9510603547096252,0.9510603547096252,0.9510603547096252,0.9510603547096252,0.9510603547096252,0.9510603547096252,0
0048_00,0.8975741267204285,0.8975741267204285,0.8975741267204285,0.8975741267204285,0.8975741267204285,0.8975741267204285,0.8975741267204285,0.8975741267204285,0.8975741267204285,0.8975741267204285,0.8975741267204285,0.8975741267204285,0.8975741267204285,0.8975741267204285,0.8975741267204285,0.8975741267204285,0
0221_02,0.8375869989395142,0.8375869989395142,0.8375869989395142,0.8375869989395142,0.8375869989395142,0.8375869989395142,0.8375869989395142,0.8375869989395142,0.8375869989395142,0.8375869989395142,0.8375869989395142,0.8375869989395142,0.8375869989395142,0.8375869989395142,0.8375869989395142,0.8375869989395142,0
0038_03,0.9506173133850098,0.9506173133850098,0.9506173133850098,0.9506173133850098,0.9506173133850098,0.9506173133850098,0.9506173133850098,0.9506173133850098,0.9506173133850098,0.9506173133850098,0.9506173133850098,0.9506173133850098,0.9506173133850098,0.9506173133850098,0.9506173133850098,0.9506173133850098,0
0381_00,0.9812646508216858,0.9812646508216858,0.9812646508216858,0.9812646508216858,0.9812646508216858,0.9812646508216858,0.9812646508216858,0.9812646508216858,0.9812646508216858,0.9812646508216858,0.9812646508216858,0.9812646508216858,0.9812646508216858,0.9812646508216858,0.9812646508216858,0.9812646508216858,0
0078_01,0.7684210538864136,0.7684210538864136,0.7684210538864136,0.7684210538864136,0.7684210538864136,0.7684210538864136,0.7684210538864136,0.7684210538864136,0.7684210538864136,0.7684210538864136,0.7684210538864136,0.7684210538864136,0.7684210538864136,0.7684210538864136,0.7684210538864136,0.7684210538864136,0
0139_00,0.9620853066444397,0.9620853066444397,0.9620853066444397,0.9620853066444397,0.9620853066444397,0.9620853066444397,0.9620853066444397,0.9620853066444397,0.9620853066444397,0.9620853066444397,0.9620853066444397,0.9620853066444397,0.9620853066444397,0.9620853066444397,0.9620853066444397,0.9620853066444397,0
0790_00,0.7815975546836853,0.7815975546836853,0.7815975546836853,0.7815975546836853,0.7815975546836853,0.7815975546836853,0.7815975546836853,0.7815975546836853,0.7815975546836853,0.7815975546836853,0.7815975546836853,0.7815975546836853,0.7815975546836853,0.7815975546836853,0.7815975546836853,0.7815975546836853,0
0254_02,0.853210985660553,0.853210985660553,0.853210985660553,0.853210985660553,0.853210985660553,0.853210985660553,0.853210985660553,0.853210985660553,0.853210985660553,0.853210985660553,0.853210985660553,0.853210985660553,0.853210985660553,0.853210985660553,0.853210985660553,0.853210985660553,0
1000_04,0.8426966071128845,0.8426966071128845,0.8426966071128845,0.8426966071128845,0.8426966071128845,0.8426966071128845,0.8426966071128845,0.8426966071128845,0.8426966071128845,0.8426966071128845,0.8426966071128845,0.8426966071128845,0.8426966071128845,0.8426966071128845,0.8426966071128845,0.8426966071128845,0
0042_02,0.8967136144638062,0.8967136144638062,0.8967136144638062,0.8967136144638062,0.8967136144638062,0.8967136144638062,0.8967136144638062,0.8967136144638062,0.8967136144638062,0.8967136144638062,0.8967136144638062,0.8967136144638062,0.8967136144638062,0.8967136144638062,0.8967136144638062,0.8967136144638062,0
0447_00,0.7543859481811523,0.7543859481811523,0.7543859481811523,0.7543859481811523,0.7543859481811523,0.7543859481811523,0.7543859481811523,0.7543859481811523,0.7543859481811523,0.7543859481811523,0.7543859481811523,0.7543859481811523,0.7543859481811523,0.7543859481811523,0.7543859481811523,0.7543859481811523,0
0042_04,0.8165547847747803,0.8165547847747803,0.8165547847747803,0.8165547847747803,0.8165547847747803,0.8165547847747803,0.8165547847747803,0.8165547847747803,0.8165547847747803,0.8165547847747803,0.8165547847747803,0.8165547847747803,0.8165547847747803,0.8165547847747803,0.8165547847747803,0.8165547847747803,0
0025_00,0.9588689208030701,0.9588689208030701,0.9588689208030701,0.9588689208030701,0.9588689208030701,0.9588689208030701,0.9588689208030701,0.9588689208030701,0.9588689208030701,0.9588689208030701,0.9588689208030701,0.9588689208030701,0.9588689208030701,0.9588689208030701,0.9588689208030701,0.9588689208030701,0
0023_05,0.9710144996643066,0.9710144996643066,0.9710144996643066,0.9710144996643066,0.9710144996643066,0.9710144996643066,0.9710144996643066,0.9710144996643066,0.9710144996643066,0.9710144996643066,0.9710144996643066,0.9710144996643066,0.9710144996643066,0.9710144996643066,0.9710144996643066,0.9710144996643066,0
0794_00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0439_05,0.9692307710647583,0.9692307710647583,0.9692307710647583,0.9692307710647583,0.9692307710647583,0.9692307710647583,0.9692307710647583,0.9692307710647583,0.9692307710647583,0.9692307710647583,0.9692307710647583,0.9692307710647583,0.9692307710647583,0.9692307710647583,0.9692307710647583,0.9692307710647583,0
0812_02,0.9316239356994629,0.9316239356994629,0.9316239356994629,0.9316239356994629,0.9316239356994629,0.9316239356994629,0.9316239356994629,0.9316239356994629,0.9316239356994629,0.9316239356994629,0.9316239356994629,0.9316239356994629,0.9316239356994629,0.9316239356994629,0.9316239356994629,0.9316239356994629,0
0348_00,0.9436619877815247,0.9436619877815247,0.9436619877815247,0.9436619877815247,0.9436619877815247,0.9436619877815247,0.9436619877815247,0.9436619877815247,0.9436619877815247,0.9436619877815247,0.9436619877815247,0.9436619877815247,0.9436619877815247,0.9436619877815247,0.9436619877815247,0.9436619877815247,0
0274_00,0.9269406199455261,0.9269406199455261,0.9269406199455261,0.9269406199455261,0.9269406199455261,0.9269406199455261,0.9269406199455261,0.9269406199455261,0.9269406199455261,0.9269406199455261,0.9269406199455261,0.9269406199455261,0.9269406199455261,0.9269406199455261,0.9269406199455261,0.9269406199455261,0
0926_00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0122_00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0845_01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0729_00,0.9029126167297363,0.9029126167297363,0.9029126167297363,0.9029126167297363,0.9029126167297363,0.9029126167297363,0.9029126167297363,0.9029126167297363,0.9029126167297363,0.9029126167297363,0.9029126167297363,0.9029126167297363,0.9029126167297363,0.9029126167297363,0.9029126167297363,0.9029126167297363,0
0929_01,0.8987341523170471,0.8987341523170471,0.8987341523170471,0.8987341523170471,0.8987341523170471,0.8987341523170471,0.8987341523170471,0.8987341523170471,0.8987341523170471,0.8987341523170471,0.8987341523170471,0.8987341523170471,0.8987341523170471,0.8987341523170471,0.8987341523170471,0.8987341523170471,0
0994_01,0.8441558480262756,0.8441558480262756,0.8441558480262756,0.8441558480262756,0.8441558480262756,0.8441558480262756,0.8441558480262756,0.8441558480262756,0.8441558480262756,0.8441558480262756,0.8441558480262756,0.8441558480262756,0.8441558480262756,0.8441558480262756,0.8441558480262756,0.8441558480262756,0
0014_03,0.8338658213615417,0.8338658213615417,0.8338658213615417,0.8338658213615417,0.8338658213615417,0.8338658213615417,0.8338658213615417,0.8338658213615417,0.8338658213615417,0.8338658213615417,0.8338658213615417,0.8338658213615417,0.8338658213615417,0.8338658213615417,0.8338658213615417,0.8338658213615417,0
